LL8ENE, G, 0, -inf, -inf, inf
ECOZUU, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
ECOZUU, G, 4, 6, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
ECOZUU, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
GJ9DGA, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
GJ9DGA, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
GJ9DGA, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
KT9A9E, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
KT9A9E, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
KT9A9E, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
LE239A, G, 4, 6, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
LE239A, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
M8HDRJ, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
M8HDRJ, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
NJ5QCS, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
NJ5QCS, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
NJ5QCS, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
QCVGNN, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
QCVGNN, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
QCVGNN, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
S6712X, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
S6712X, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
S6712X, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
STE00G, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
STE00G, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
STE00G, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
TWGO8A, G, 4, 6, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
TWGO8A, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
US40UL, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
US40UL, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
W61GK1, G, 4, 6, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
W61GK1, R, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
W61GK1, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
YB15LB, B, 4, -1, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
YB15LB, G, 4, 6, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
YB15LB, Y, 4, 3, -inf, -1
31Z0WX, G, 3, -1, -inf, -1
XI2AYM, R, 2, -1, -1, 2
31Z0WX, Y, 3, inf, -1, 2
8R6FXF, G, 4, 9, -1, 2
31Z0WX, Y, 3, 9, -1, 2
8R6FXF, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 6, -1, 2
9CY2PD, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
9CY2PD, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
9CY2PD, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
9UVODX, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
9UVODX, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
9UVODX, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
DNW5WH, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
DNW5WH, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
DNW5WH, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
ECOZUU, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
ECOZUU, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
ECOZUU, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
GJ9DGA, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
GJ9DGA, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
GJ9DGA, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
KT9A9E, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
KT9A9E, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
LE239A, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
LE239A, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
M8HDRJ, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
M8HDRJ, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
NJ5QCS, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
NJ5QCS, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
NJ5QCS, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
QCVGNN, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
QCVGNN, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
QCVGNN, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
S6712X, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
S6712X, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
S6712X, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
STE00G, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
STE00G, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
STE00G, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
TWGO8A, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
TWGO8A, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
US40UL, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
US40UL, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
W61GK1, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
W61GK1, R, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
W61GK1, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
YB15LB, B, 4, 2, -1, 2
31Z0WX, Y, 3, 2, -1, 2
YB15LB, G, 4, 9, -1, 2
31Z0WX, Y, 3, 2, -1, 2
YB15LB, Y, 4, 6, -1, 2
31Z0WX, Y, 3, 2, -1, 2
XI2AYM, R, 2, 2, -1, 2
7MBB7Q, B, 1, 2, -inf, 2
XI2AYM, Y, 2, -inf, -inf, 2
31Z0WX, G, 3, inf, -inf, 2
8R6FXF, G, 4, 10, -inf, 2
31Z0WX, G, 3, 10, -inf, 2
8R6FXF, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
9CY2PD, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
9CY2PD, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
9UVODX, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
9UVODX, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
9UVODX, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
DNW5WH, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
DNW5WH, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
DNW5WH, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
ECOZUU, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
ECOZUU, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
ECOZUU, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
GJ9DGA, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
GJ9DGA, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
GJ9DGA, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
KT9A9E, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
KT9A9E, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
KT9A9E, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
LE239A, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
LE239A, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
M8HDRJ, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
M8HDRJ, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
NJ5QCS, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
NJ5QCS, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
NJ5QCS, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
QCVGNN, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
QCVGNN, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
QCVGNN, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
S6712X, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
S6712X, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
S6712X, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
STE00G, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
STE00G, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
STE00G, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
TWGO8A, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
US40UL, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
US40UL, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
W61GK1, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
W61GK1, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
W61GK1, Y, 4, 7, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
YB15LB, B, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
YB15LB, G, 4, 10, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
YB15LB, R, 4, 3, -inf, 2
31Z0WX, G, 3, 3, -inf, 2
XI2AYM, Y, 2, 3, -inf, 2
7MBB7Q, B, 1, 2, -inf, 2
LL8ENE, G, 0, 2, 2, inf
7MBB7Q, G, 1, inf, 2, inf
31Z0WX, B, 2, -inf, 2, inf
8R6FXF, B, 3, inf, 2, inf
9CY2PD, G, 4, 6, 2, inf
8R6FXF, B, 3, 6, 2, 6
9CY2PD, Y, 4, 3, 2, 6
8R6FXF, B, 3, 3, 2, 3
9UVODX, G, 4, 6, 2, 3
8R6FXF, B, 3, 3, 2, 3
9UVODX, R, 4, -1, 2, 3
8R6FXF, B, 3, -1, 2, 3
31Z0WX, B, 2, -1, 2, inf
8R6FXF, R, 3, inf, 2, inf
9CY2PD, B, 4, 7, 2, inf
8R6FXF, R, 3, 7, 2, 7
9CY2PD, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
9CY2PD, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
9UVODX, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
9UVODX, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
KT9A9E, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
LE239A, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
LE239A, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
M8HDRJ, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
M8HDRJ, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
QCVGNN, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
QCVGNN, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
QCVGNN, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
S6712X, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
S6712X, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
S6712X, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
STE00G, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
STE00G, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
STE00G, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
TWGO8A, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
TWGO8A, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
US40UL, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
US40UL, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
W61GK1, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
W61GK1, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
W61GK1, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
XI2AYM, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
31Z0WX, B, 2, 7, 7, inf
8R6FXF, Y, 3, inf, 7, inf
9CY2PD, B, 4, 10, 7, inf
8R6FXF, Y, 3, 10, 7, 10
9CY2PD, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
9UVODX, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
9UVODX, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
DNW5WH, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
DNW5WH, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
DNW5WH, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
ECOZUU, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
ECOZUU, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
ECOZUU, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
GJ9DGA, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
GJ9DGA, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
GJ9DGA, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
KT9A9E, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
LE239A, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
LE239A, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
M8HDRJ, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
M8HDRJ, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
NJ5QCS, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
NJ5QCS, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
NJ5QCS, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
QCVGNN, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
QCVGNN, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
QCVGNN, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
S6712X, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
S6712X, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
S6712X, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
STE00G, G, 4, 17, 7, 10
8R6FXF, Y, 3, 10, 7, 10
STE00G, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
STE00G, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
TWGO8A, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
TWGO8A, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
US40UL, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
US40UL, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
W61GK1, B, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
W61GK1, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
W61GK1, Y, 4, 14, 7, 10
8R6FXF, Y, 3, 10, 7, 10
XI2AYM, R, 4, 10, 7, 10
8R6FXF, Y, 3, 10, 7, 10
31Z0WX, B, 2, 10, 10, inf
9CY2PD, B, 3, inf, 10, inf
8R6FXF, R, 4, -1, 10, inf
9CY2PD, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
9CY2PD, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
9CY2PD, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
9CY2PD, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
9CY2PD, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
9UVODX, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
9UVODX, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
9UVODX, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
9UVODX, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
9UVODX, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
9UVODX, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
DNW5WH, B, 3, inf, 10, inf
8R6FXF, B, 4, -1, 10, inf
DNW5WH, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
DNW5WH, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
DNW5WH, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
DNW5WH, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
DNW5WH, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
GJ9DGA, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
GJ9DGA, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
GJ9DGA, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
GJ9DGA, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
GJ9DGA, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
GJ9DGA, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
KT9A9E, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
KT9A9E, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
KT9A9E, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
KT9A9E, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
LE239A, B, 3, inf, 10, inf
8R6FXF, B, 4, -1, 10, inf
LE239A, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
LE239A, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
LE239A, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
M8HDRJ, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
M8HDRJ, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
M8HDRJ, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
M8HDRJ, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
NJ5QCS, B, 3, inf, 10, inf
8R6FXF, B, 4, -1, 10, inf
NJ5QCS, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
NJ5QCS, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
NJ5QCS, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
NJ5QCS, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
NJ5QCS, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
QCVGNN, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
QCVGNN, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
QCVGNN, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
QCVGNN, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
QCVGNN, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
QCVGNN, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
S6712X, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
S6712X, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
S6712X, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
S6712X, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
S6712X, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
S6712X, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
STE00G, G, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
STE00G, G, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
STE00G, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
STE00G, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
STE00G, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
STE00G, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
TWGO8A, B, 3, inf, 10, inf
8R6FXF, B, 4, -1, 10, inf
TWGO8A, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
TWGO8A, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
TWGO8A, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
US40UL, B, 3, inf, 10, inf
8R6FXF, R, 4, -1, 10, inf
US40UL, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
US40UL, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
US40UL, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
US40UL, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
US40UL, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
W61GK1, B, 3, inf, 10, inf
8R6FXF, B, 4, -1, 10, inf
W61GK1, B, 3, -1, 10, inf
31Z0WX, B, 2, 10, 10, inf
W61GK1, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
W61GK1, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
W61GK1, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
W61GK1, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
XI2AYM, R, 3, inf, 10, inf
8R6FXF, B, 4, 7, 10, inf
XI2AYM, R, 3, 7, 10, inf
31Z0WX, B, 2, 10, 10, inf
XI2AYM, Y, 3, inf, 10, inf
8R6FXF, B, 4, 10, 10, inf
XI2AYM, Y, 3, 10, 10, inf
31Z0WX, B, 2, 10, 10, inf
7MBB7Q, G, 1, 10, 2, 10
31Z0WX, R, 2, -inf, 2, 10
8R6FXF, B, 3, inf, 2, 10
9CY2PD, G, 4, 6, 2, 10
8R6FXF, B, 3, 6, 2, 6
9CY2PD, Y, 4, 3, 2, 6
8R6FXF, B, 3, 3, 2, 3
9UVODX, G, 4, 6, 2, 3
8R6FXF, B, 3, 3, 2, 3
9UVODX, Y, 4, 3, 2, 3
8R6FXF, B, 3, 3, 2, 3
DNW5WH, B, 4, -1, 2, 3
8R6FXF, B, 3, -1, 2, 3
31Z0WX, R, 2, -1, 2, 10
8R6FXF, R, 3, inf, 2, 10
9CY2PD, B, 4, 7, 2, 10
8R6FXF, R, 3, 7, 2, 7
9CY2PD, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
9CY2PD, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
9UVODX, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
9UVODX, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
9UVODX, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
DNW5WH, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
ECOZUU, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
GJ9DGA, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
KT9A9E, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
KT9A9E, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
LE239A, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
LE239A, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
M8HDRJ, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
M8HDRJ, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, R, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
NJ5QCS, Y, 4, 11, 2, 7
8R6FXF, R, 3, 7, 2, 7
QCVGNN, B, 4, 7, 2, 7
8R6FXF, R, 3, 7, 2, 7
QCVGNN, G, 4, 14, 2, 7
8R6FXF, R, 3, 7, 2, 7
