39KZHL, G, 0, -inf, -inf, inf
89OO3B, O, 3, -10, -11, -10
T0YVAQ, B, 4, -5, -11, -10
89OO3B, O, 3, -10, -11, -10
T0YVAQ, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
T0YVAQ, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
TGRO2Z, B, 4, -5, -11, -10
89OO3B, O, 3, -10, -11, -10
TGRO2Z, G, 4, 2, -11, -10
89OO3B, O, 3, -10, -11, -10
TGRO2Z, O, 4, -9, -11, -10
89OO3B, O, 3, -10, -11, -10
TGRO2Z, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
TGRO2Z, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
U1DPGK, O, 4, -9, -11, -10
89OO3B, O, 3, -10, -11, -10
U1DPGK, P, 4, -6, -11, -10
89OO3B, O, 3, -10, -11, -10
U1DPGK, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
U1DPGK, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
U6W77E, O, 4, -9, -11, -10
89OO3B, O, 3, -10, -11, -10
U6W77E, P, 4, -6, -11, -10
89OO3B, O, 3, -10, -11, -10
U6W77E, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
U6W77E, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
W6ZCF0, B, 4, -5, -11, -10
89OO3B, O, 3, -10, -11, -10
W6ZCF0, G, 4, 2, -11, -10
89OO3B, O, 3, -10, -11, -10
W6ZCF0, O, 4, -9, -11, -10
89OO3B, O, 3, -10, -11, -10
W6ZCF0, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
W6ZCF0, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
ZWHEJ4, G, 4, 2, -11, -10
89OO3B, O, 3, -10, -11, -10
ZWHEJ4, O, 4, -9, -11, -10
89OO3B, O, 3, -10, -11, -10
ZWHEJ4, R, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
ZWHEJ4, Y, 4, -10, -11, -10
89OO3B, O, 3, -10, -11, -10
RIGQBQ, P, 2, -10, -10, -9
89OO3B, R, 3, inf, -10, -9
ALDU5F, G, 4, 7, -10, -9
89OO3B, R, 3, 7, -10, -9
ALDU5F, O, 4, -4, -10, -9
89OO3B, R, 3, -4, -10, -9
ALDU5F, P, 4, -1, -10, -9
89OO3B, R, 3, -4, -10, -9
ALDU5F, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
ALDU5F, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
F3HQ9T, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
F3HQ9T, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
F3HQ9T, P, 4, -1, -10, -9
89OO3B, R, 3, -5, -10, -9
F3HQ9T, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
F3HQ9T, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
I6XTP9, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
I6XTP9, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
I6XTP9, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
I6XTP9, P, 4, -1, -10, -9
89OO3B, R, 3, -5, -10, -9
I6XTP9, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
J3S4LL, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
J3S4LL, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
J3S4LL, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
J3S4LL, P, 4, -1, -10, -9
89OO3B, R, 3, -5, -10, -9
J3S4LL, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
JU9EUZ, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
JU9EUZ, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
JU9EUZ, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
JU9EUZ, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
JU9EUZ, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
S9OGAW, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
S9OGAW, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
S9OGAW, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
S9OGAW, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
T0YVAQ, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
T0YVAQ, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
T0YVAQ, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
TGRO2Z, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
TGRO2Z, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
TGRO2Z, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
TGRO2Z, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
TGRO2Z, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
U1DPGK, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
U1DPGK, P, 4, -1, -10, -9
89OO3B, R, 3, -5, -10, -9
U1DPGK, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
U1DPGK, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
U6W77E, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
U6W77E, P, 4, -1, -10, -9
89OO3B, R, 3, -5, -10, -9
U6W77E, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
U6W77E, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
W6ZCF0, B, 4, 0, -10, -9
89OO3B, R, 3, -5, -10, -9
W6ZCF0, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
W6ZCF0, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
W6ZCF0, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
W6ZCF0, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
ZWHEJ4, G, 4, 7, -10, -9
89OO3B, R, 3, -5, -10, -9
ZWHEJ4, O, 4, -4, -10, -9
89OO3B, R, 3, -5, -10, -9
ZWHEJ4, R, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
ZWHEJ4, Y, 4, -5, -10, -9
89OO3B, R, 3, -5, -10, -9
RIGQBQ, P, 2, -5, -10, -9
1O7SKL, B, 1, -9, -inf, -9
RIGQBQ, R, 2, -inf, -inf, -9
89OO3B, G, 3, inf, -inf, -9
ALDU5F, G, 4, -3, -inf, -9
89OO3B, G, 3, -3, -inf, -9
ALDU5F, O, 4, -14, -inf, -9
89OO3B, G, 3, -14, -inf, -14
ALDU5F, P, 4, -11, -inf, -14
89OO3B, G, 3, -14, -inf, -14
ALDU5F, R, 4, -15, -inf, -14
89OO3B, G, 3, -15, -inf, -15
ALDU5F, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
RIGQBQ, R, 2, -15, -15, -9
89OO3B, O, 3, inf, -15, -9
ALDU5F, G, 4, -2, -15, -9
89OO3B, O, 3, -2, -15, -9
ALDU5F, O, 4, -13, -15, -9
89OO3B, O, 3, -13, -15, -13
ALDU5F, P, 4, -10, -15, -13
89OO3B, O, 3, -13, -15, -13
ALDU5F, R, 4, -14, -15, -13
89OO3B, O, 3, -14, -15, -14
ALDU5F, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
T0YVAQ, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
T0YVAQ, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
T0YVAQ, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
TGRO2Z, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
TGRO2Z, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
TGRO2Z, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
TGRO2Z, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
TGRO2Z, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
U1DPGK, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
U1DPGK, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
U1DPGK, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
U1DPGK, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
U6W77E, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
U6W77E, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
U6W77E, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
U6W77E, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
W6ZCF0, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
W6ZCF0, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
W6ZCF0, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
W6ZCF0, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
W6ZCF0, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
ZWHEJ4, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
ZWHEJ4, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
ZWHEJ4, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
ZWHEJ4, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
RIGQBQ, R, 2, -14, -14, -9
89OO3B, P, 3, inf, -14, -9
ALDU5F, G, 4, 3, -14, -9
89OO3B, P, 3, 3, -14, -9
ALDU5F, O, 4, -8, -14, -9
89OO3B, P, 3, -8, -14, -9
ALDU5F, P, 4, -5, -14, -9
89OO3B, P, 3, -8, -14, -9
ALDU5F, R, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
ALDU5F, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
F3HQ9T, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
F3HQ9T, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
F3HQ9T, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
F3HQ9T, R, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
F3HQ9T, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
I6XTP9, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
I6XTP9, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
I6XTP9, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
I6XTP9, R, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
I6XTP9, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
J3S4LL, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
J3S4LL, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
J3S4LL, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
J3S4LL, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
JU9EUZ, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
JU9EUZ, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
JU9EUZ, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
JU9EUZ, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
JU9EUZ, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
S9OGAW, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
S9OGAW, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
S9OGAW, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
S9OGAW, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
T0YVAQ, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
T0YVAQ, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
T0YVAQ, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
TGRO2Z, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
TGRO2Z, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
TGRO2Z, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
TGRO2Z, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
TGRO2Z, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
U1DPGK, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
U1DPGK, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
U1DPGK, R, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
U1DPGK, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
U6W77E, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
U6W77E, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
U6W77E, R, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
U6W77E, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
W6ZCF0, B, 4, -4, -14, -9
89OO3B, P, 3, -9, -14, -9
W6ZCF0, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
W6ZCF0, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
W6ZCF0, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
W6ZCF0, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
ZWHEJ4, G, 4, 3, -14, -9
89OO3B, P, 3, -9, -14, -9
ZWHEJ4, O, 4, -8, -14, -9
89OO3B, P, 3, -9, -14, -9
ZWHEJ4, P, 4, -5, -14, -9
89OO3B, P, 3, -9, -14, -9
ZWHEJ4, Y, 4, -9, -14, -9
89OO3B, P, 3, -9, -14, -9
RIGQBQ, R, 2, -9, -14, -9
1O7SKL, B, 1, -9, -inf, -9
RIGQBQ, Y, 2, -inf, -inf, -9
89OO3B, G, 3, inf, -inf, -9
ALDU5F, G, 4, -3, -inf, -9
89OO3B, G, 3, -3, -inf, -9
ALDU5F, O, 4, -14, -inf, -9
89OO3B, G, 3, -14, -inf, -14
ALDU5F, P, 4, -11, -inf, -14
89OO3B, G, 3, -14, -inf, -14
ALDU5F, R, 4, -15, -inf, -14
89OO3B, G, 3, -15, -inf, -15
ALDU5F, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
F3HQ9T, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
I6XTP9, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
J3S4LL, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
JU9EUZ, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
S9OGAW, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
T0YVAQ, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
TGRO2Z, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U1DPGK, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
U6W77E, Y, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, B, 4, -10, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
W6ZCF0, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, G, 4, -3, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, O, 4, -14, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, P, 4, -11, -inf, -15
89OO3B, G, 3, -15, -inf, -15
ZWHEJ4, R, 4, -15, -inf, -15
89OO3B, G, 3, -15, -inf, -15
RIGQBQ, Y, 2, -15, -15, -9
89OO3B, O, 3, inf, -15, -9
ALDU5F, G, 4, -2, -15, -9
89OO3B, O, 3, -2, -15, -9
ALDU5F, O, 4, -13, -15, -9
89OO3B, O, 3, -13, -15, -13
ALDU5F, P, 4, -10, -15, -13
89OO3B, O, 3, -13, -15, -13
ALDU5F, R, 4, -14, -15, -13
89OO3B, O, 3, -14, -15, -14
ALDU5F, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
F3HQ9T, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
I6XTP9, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
J3S4LL, Y, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, G, 4, -2, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
JU9EUZ, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, B, 4, -9, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, O, 4, -13, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, P, 4, -10, -15, -14
89OO3B, O, 3, -14, -15, -14
S9OGAW, R, 4, -14, -15, -14
89OO3B, O, 3, -14, -15, -14
