ZKDN7L, G, 0, -inf, -inf, inf
4X8BBI, G, 3, -8, -inf, -11
90V1TB, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, R, 2, -8, -inf, -11
33PXCN, B, 1, -11, -inf, -11
VKMURE, Y, 2, -inf, -inf, -11
4X8BBI, G, 3, inf, -inf, -11
3EZBRQ, B, 4, -4, -inf, -11
4X8BBI, G, 3, -4, -inf, -11
3EZBRQ, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, R, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, B, 4, -4, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, R, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
90V1TB, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, Y, 2, -8, -inf, -11
33PXCN, B, 1, -11, -inf, -11
VWMFU9, G, 2, -inf, -inf, -11
4X8BBI, G, 3, inf, -inf, -11
3EZBRQ, B, 4, -7, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
3EZBRQ, P, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
3EZBRQ, R, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
3EZBRQ, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6EHM3Q, B, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6EHM3Q, P, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6EHM3Q, R, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6EHM3Q, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, B, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, P, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, R, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
90V1TB, G, 4, -11, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
90V1TB, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
90V1TB, R, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
90V1TB, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
AZNZW6, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
AZNZW6, R, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
AZNZW6, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
HVF5GE, B, 4, -7, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
HVF5GE, G, 4, -11, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
HVF5GE, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
HVF5GE, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
O52HYD, G, 4, -11, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
O52HYD, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
O52HYD, R, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
O52HYD, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
UVUETX, B, 4, -7, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
UVUETX, G, 4, -11, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
UVUETX, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
UVUETX, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
VKMURE, B, 4, -7, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
VKMURE, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
VKMURE, R, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
VKMURE, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
WWN9BE, B, 4, -7, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
WWN9BE, G, 4, -11, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
WWN9BE, P, 4, -9, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
WWN9BE, Y, 4, -8, -inf, -11
4X8BBI, G, 3, -11, -inf, -11
VWMFU9, G, 2, -11, -inf, -11
33PXCN, B, 1, -11, -inf, -11
VWMFU9, P, 2, -inf, -inf, -11
4X8BBI, G, 3, inf, -inf, -11
3EZBRQ, B, 4, -5, -inf, -11
4X8BBI, G, 3, -5, -inf, -11
3EZBRQ, P, 4, -7, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
3EZBRQ, R, 4, -6, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
3EZBRQ, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
6EHM3Q, B, 4, -5, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
6EHM3Q, R, 4, -6, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
6EHM3Q, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
6JY6KY, B, 4, -5, -inf, -11
4X8BBI, G, 3, -7, -inf, -11
6JY6KY, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, R, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
6JY6KY, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
90V1TB, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
90V1TB, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
90V1TB, R, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
90V1TB, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
AZNZW6, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
AZNZW6, R, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
AZNZW6, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
HVF5GE, B, 4, -5, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
HVF5GE, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
HVF5GE, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
HVF5GE, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
O52HYD, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
O52HYD, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
O52HYD, R, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
O52HYD, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
UVUETX, B, 4, -5, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
UVUETX, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
UVUETX, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
UVUETX, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
VKMURE, B, 4, -5, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
VKMURE, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
VKMURE, R, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
VKMURE, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
WWN9BE, B, 4, -5, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
WWN9BE, G, 4, -9, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
WWN9BE, P, 4, -7, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
WWN9BE, Y, 4, -6, -inf, -11
4X8BBI, G, 3, -9, -inf, -11
VWMFU9, P, 2, -9, -inf, -11
33PXCN, B, 1, -11, -inf, -11
VWMFU9, R, 2, -inf, -inf, -11
4X8BBI, G, 3, inf, -inf, -11
3EZBRQ, B, 4, -4, -inf, -11
4X8BBI, G, 3, -4, -inf, -11
3EZBRQ, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, R, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, B, 4, -4, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6JY6KY, B, 4, -4, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6JY6KY, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
6JY6KY, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
6JY6KY, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, R, 2, -8, -inf, -11
33PXCN, B, 1, -11, -inf, -11
VWMFU9, Y, 2, -inf, -inf, -11
4X8BBI, G, 3, inf, -inf, -11
3EZBRQ, B, 4, -4, -inf, -11
4X8BBI, G, 3, -4, -inf, -11
3EZBRQ, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, R, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
3EZBRQ, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, B, 4, -4, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, P, 4, -6, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6EHM3Q, R, 4, -5, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6JY6KY, B, 4, -4, -inf, -11
4X8BBI, G, 3, -6, -inf, -11
6JY6KY, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
6JY6KY, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
6JY6KY, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
90V1TB, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
AZNZW6, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
HVF5GE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
O52HYD, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
UVUETX, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, R, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VKMURE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, B, 4, -4, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, G, 4, -8, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, P, 4, -6, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
WWN9BE, Y, 4, -5, -inf, -11
4X8BBI, G, 3, -8, -inf, -11
VWMFU9, Y, 2, -8, -inf, -11
33PXCN, B, 1, -11, -inf, -11
WWN9BE, B, 2, -inf, -inf, -11
3EZBRQ, G, 3, inf, -inf, -11
4X8BBI, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -5, -inf, -11
4X8BBI, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -5, -inf, -11
67M6U8, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
67M6U8, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
67M6U8, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
67M6U8, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6EHM3Q, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6EHM3Q, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6EHM3Q, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6JY6KY, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6JY6KY, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6JY6KY, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
6JY6KY, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
7OWM2Y, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
7OWM2Y, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
7OWM2Y, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
7OWM2Y, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
90V1TB, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
90V1TB, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
90V1TB, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
90V1TB, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
AZNZW6, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
AZNZW6, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
AZNZW6, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
GMZI3J, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
GMZI3J, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
GMZI3J, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
GMZI3J, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
HVF5GE, B, 4, -3, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
HVF5GE, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
HVF5GE, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
HVF5GE, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
O52HYD, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
O52HYD, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
O52HYD, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
O52HYD, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
OAOHD4, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
OAOHD4, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
OAOHD4, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
OAOHD4, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
UVUETX, B, 4, -3, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
UVUETX, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
UVUETX, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
UVUETX, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VKMURE, B, 4, -3, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VKMURE, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VKMURE, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VKMURE, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VWMFU9, G, 4, -7, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VWMFU9, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VWMFU9, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
VWMFU9, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
WQ4YKE, B, 4, -3, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
WQ4YKE, P, 4, -5, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
WQ4YKE, R, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
WQ4YKE, Y, 4, -4, -inf, -11
3EZBRQ, G, 3, -7, -inf, -11
WWN9BE, B, 2, -7, -inf, -11
33PXCN, B, 1, -11, -inf, -11
WWN9BE, G, 2, -inf, -inf, -11
3EZBRQ, B, 3, inf, -inf, -11
4X8BBI, G, 4, -18, -inf, -11
3EZBRQ, B, 3, -18, -inf, -18
4X8BBI, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
4X8BBI, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
67M6U8, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
67M6U8, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
67M6U8, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
67M6U8, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6EHM3Q, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6EHM3Q, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6EHM3Q, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6EHM3Q, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6JY6KY, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6JY6KY, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6JY6KY, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
6JY6KY, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
7OWM2Y, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
7OWM2Y, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
7OWM2Y, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
7OWM2Y, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
90V1TB, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
AZNZW6, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
GMZI3J, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
GMZI3J, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
GMZI3J, R, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
GMZI3J, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, B, 4, -14, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, G, 4, -18, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, P, 4, -16, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
HVF5GE, Y, 4, -15, -inf, -18
3EZBRQ, B, 3, -18, -inf, -18
O52HYD, G, 4, -18, -inf, -18
