HL7RH0, G, 0, -inf, -inf, inf
NCYMNC, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
NCYMNC, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
ST898E, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
ST898E, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
ST898E, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
TI1LD6, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
TI1LD6, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
TI1LD6, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
D7A6DO, Y, 2, -12, -25, -12
4TGIVI, B, 1, -12, -inf, -12
E3B6KU, B, 2, -inf, -inf, -12
93CT8B, B, 3, inf, -inf, -12
7MVUG1, G, 4, -13, -inf, -12
93CT8B, B, 3, -13, -inf, -13
7MVUG1, R, 4, -15, -inf, -13
93CT8B, B, 3, -15, -inf, -15
7MVUG1, Y, 4, -17, -inf, -15
93CT8B, B, 3, -17, -inf, -17
BJ5MZ5, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
BJ5MZ5, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
BJ5MZ5, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
D7A6DO, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
D7A6DO, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
D7A6DO, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
FBMJRV, B, 4, -9, -inf, -17
93CT8B, B, 3, -17, -inf, -17
FBMJRV, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
FBMJRV, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
IOIZ5S, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
IOIZ5S, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
IOIZ5S, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LCX2DK, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LCX2DK, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
NCYMNC, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
NCYMNC, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
PEOP6A, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
PEOP6A, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
PEOP6A, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ST898E, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ST898E, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
XW9SVZ, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
XW9SVZ, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
XW9SVZ, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
E3B6KU, B, 2, -17, -17, -12
93CT8B, R, 3, inf, -17, -12
7MVUG1, B, 4, 4, -17, -12
93CT8B, R, 3, 4, -17, -12
7MVUG1, G, 4, 0, -17, -12
93CT8B, R, 3, 0, -17, -12
7MVUG1, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
BJ5MZ5, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
BJ5MZ5, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
BJ5MZ5, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
FBMJRV, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
FBMJRV, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
FBMJRV, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
IOIZ5S, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
IOIZ5S, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
IOIZ5S, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
LCX2DK, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
LCX2DK, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
NCYMNC, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
NCYMNC, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
PEOP6A, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
PEOP6A, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
PEOP6A, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
ST898E, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
ST898E, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
XW9SVZ, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
XW9SVZ, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
XW9SVZ, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
E3B6KU, B, 2, -4, -17, -12
4TGIVI, B, 1, -12, -inf, -12
E3B6KU, R, 2, -inf, -inf, -12
93CT8B, B, 3, inf, -inf, -12
7MVUG1, G, 4, -19, -inf, -12
93CT8B, B, 3, -19, -inf, -19
7MVUG1, R, 4, -21, -inf, -19
93CT8B, B, 3, -21, -inf, -21
7MVUG1, Y, 4, -23, -inf, -21
93CT8B, B, 3, -23, -inf, -23
BJ5MZ5, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
BJ5MZ5, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
BJ5MZ5, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
D7A6DO, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
D7A6DO, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
FBMJRV, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
FBMJRV, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
FBMJRV, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
GKM35T, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
GKM35T, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
IOIZ5S, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
IOIZ5S, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
IOIZ5S, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LCX2DK, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LCX2DK, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LX6ZE0, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LX6ZE0, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LX6ZE0, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
NCYMNC, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
NCYMNC, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
ODUBEG, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
ODUBEG, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
ODUBEG, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
PEOP6A, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
PEOP6A, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
PEOP6A, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
ST898E, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
ST898E, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
XW9SVZ, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
XW9SVZ, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
XW9SVZ, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
E3B6KU, R, 2, -23, -23, -12
93CT8B, R, 3, inf, -23, -12
7MVUG1, B, 4, -2, -23, -12
93CT8B, R, 3, -2, -23, -12
7MVUG1, G, 4, -6, -23, -12
93CT8B, R, 3, -6, -23, -12
7MVUG1, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
BJ5MZ5, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
BJ5MZ5, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
BJ5MZ5, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
D7A6DO, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
D7A6DO, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
FBMJRV, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
FBMJRV, R, 4, -8, -23, -12
93CT8B, R, 3, -10, -23, -12
FBMJRV, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
GKM35T, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
GKM35T, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
IOIZ5S, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
IOIZ5S, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
IOIZ5S, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
JENPWA, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
JENPWA, R, 4, -8, -23, -12
93CT8B, R, 3, -10, -23, -12
JENPWA, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
LCX2DK, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
LCX2DK, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
LX6ZE0, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
LX6ZE0, R, 4, -8, -23, -12
93CT8B, R, 3, -10, -23, -12
LX6ZE0, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
NCYMNC, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
NCYMNC, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
ODUBEG, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
ODUBEG, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
ODUBEG, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
PEOP6A, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
PEOP6A, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
PEOP6A, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
ST898E, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
ST898E, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
ST898E, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
XW9SVZ, B, 4, -2, -23, -12
93CT8B, R, 3, -10, -23, -12
XW9SVZ, G, 4, -6, -23, -12
93CT8B, R, 3, -10, -23, -12
XW9SVZ, Y, 4, -10, -23, -12
93CT8B, R, 3, -10, -23, -12
E3B6KU, R, 2, -10, -23, -12
4TGIVI, B, 1, -12, -inf, -12
E3B6KU, Y, 2, -inf, -inf, -12
93CT8B, B, 3, inf, -inf, -12
7MVUG1, G, 4, -21, -inf, -12
93CT8B, B, 3, -21, -inf, -21
7MVUG1, R, 4, -23, -inf, -21
93CT8B, B, 3, -23, -inf, -23
7MVUG1, Y, 4, -25, -inf, -23
93CT8B, B, 3, -25, -inf, -25
BJ5MZ5, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
BJ5MZ5, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
BJ5MZ5, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
D7A6DO, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
D7A6DO, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
FBMJRV, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
FBMJRV, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
FBMJRV, Y, 4, -25, -inf, -25
93CT8B, B, 3, -25, -inf, -25
GKM35T, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
GKM35T, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
IOIZ5S, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
IOIZ5S, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
IOIZ5S, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
JENPWA, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
JENPWA, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
JENPWA, Y, 4, -25, -inf, -25
93CT8B, B, 3, -25, -inf, -25
LCX2DK, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
LCX2DK, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
LX6ZE0, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
LX6ZE0, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
LX6ZE0, Y, 4, -25, -inf, -25
93CT8B, B, 3, -25, -inf, -25
NCYMNC, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
NCYMNC, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
ODUBEG, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
ODUBEG, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
ODUBEG, Y, 4, -25, -inf, -25
93CT8B, B, 3, -25, -inf, -25
PEOP6A, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
PEOP6A, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
PEOP6A, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
ST898E, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
XW9SVZ, B, 4, -17, -inf, -25
93CT8B, B, 3, -25, -inf, -25
XW9SVZ, G, 4, -21, -inf, -25
93CT8B, B, 3, -25, -inf, -25
XW9SVZ, R, 4, -23, -inf, -25
93CT8B, B, 3, -25, -inf, -25
E3B6KU, Y, 2, -25, -25, -12
93CT8B, R, 3, inf, -25, -12
7MVUG1, B, 4, -4, -25, -12
93CT8B, R, 3, -4, -25, -12
7MVUG1, G, 4, -8, -25, -12
93CT8B, R, 3, -8, -25, -12
7MVUG1, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
BJ5MZ5, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
BJ5MZ5, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
BJ5MZ5, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
D7A6DO, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
D7A6DO, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
FBMJRV, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
FBMJRV, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
FBMJRV, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
GKM35T, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
GKM35T, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
IOIZ5S, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
IOIZ5S, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
IOIZ5S, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
JENPWA, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
JENPWA, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
JENPWA, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
LCX2DK, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
LCX2DK, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
LX6ZE0, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
LX6ZE0, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
LX6ZE0, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
NCYMNC, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
NCYMNC, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
ODUBEG, Y, 4, -12, -25, -12
93CT8B, R, 3, -12, -25, -12
PEOP6A, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
PEOP6A, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
PEOP6A, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
ST898E, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
ST898E, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, B, 4, -4, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, G, 4, -8, -25, -12
93CT8B, R, 3, -12, -25, -12
XW9SVZ, R, 4, -10, -25, -12
93CT8B, R, 3, -12, -25, -12
E3B6KU, Y, 2, -12, -25, -12
4TGIVI, B, 1, -12, -inf, -12
FBMJRV, B, 2, -inf, -inf, -12
93CT8B, B, 3, inf, -inf, -12
7MVUG1, G, 4, -13, -inf, -12
93CT8B, B, 3, -13, -inf, -13
7MVUG1, R, 4, -15, -inf, -13
93CT8B, B, 3, -15, -inf, -15
7MVUG1, Y, 4, -17, -inf, -15
93CT8B, B, 3, -17, -inf, -17
D7A6DO, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
D7A6DO, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
D7A6DO, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
E3B6KU, B, 4, -9, -inf, -17
93CT8B, B, 3, -17, -inf, -17
E3B6KU, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
E3B6KU, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
GKM35T, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
JENPWA, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LCX2DK, B, 4, -9, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LCX2DK, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LCX2DK, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
LX6ZE0, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
NCYMNC, B, 4, -9, -inf, -17
93CT8B, B, 3, -17, -inf, -17
NCYMNC, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
NCYMNC, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, R, 4, -15, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ODUBEG, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ST898E, G, 4, -13, -inf, -17
93CT8B, B, 3, -17, -inf, -17
ST898E, Y, 4, -17, -inf, -17
93CT8B, B, 3, -17, -inf, -17
FBMJRV, B, 2, -17, -17, -12
93CT8B, R, 3, inf, -17, -12
7MVUG1, B, 4, 4, -17, -12
93CT8B, R, 3, 4, -17, -12
7MVUG1, G, 4, 0, -17, -12
93CT8B, R, 3, 0, -17, -12
7MVUG1, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
D7A6DO, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
E3B6KU, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
E3B6KU, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
E3B6KU, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
GKM35T, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
JENPWA, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
LCX2DK, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
LCX2DK, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
LCX2DK, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
LX6ZE0, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
NCYMNC, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
NCYMNC, R, 4, -2, -17, -12
93CT8B, R, 3, -4, -17, -12
NCYMNC, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
ODUBEG, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
ST898E, B, 4, 4, -17, -12
93CT8B, R, 3, -4, -17, -12
ST898E, G, 4, 0, -17, -12
93CT8B, R, 3, -4, -17, -12
ST898E, Y, 4, -4, -17, -12
93CT8B, R, 3, -4, -17, -12
FBMJRV, B, 2, -4, -17, -12
4TGIVI, B, 1, -12, -inf, -12
FBMJRV, R, 2, -inf, -inf, -12
93CT8B, B, 3, inf, -inf, -12
7MVUG1, G, 4, -19, -inf, -12
93CT8B, B, 3, -19, -inf, -19
7MVUG1, R, 4, -21, -inf, -19
93CT8B, B, 3, -21, -inf, -21
7MVUG1, Y, 4, -23, -inf, -21
93CT8B, B, 3, -23, -inf, -23
D7A6DO, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
D7A6DO, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
D7A6DO, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
E3B6KU, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
E3B6KU, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
E3B6KU, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
GKM35T, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
GKM35T, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
GKM35T, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, G, 4, -19, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, R, 4, -21, -inf, -23
93CT8B, B, 3, -23, -inf, -23
JENPWA, Y, 4, -23, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LCX2DK, B, 4, -15, -inf, -23
93CT8B, B, 3, -23, -inf, -23
LCX2DK, R, 4, -21, -inf, -23
