L8932D, G, 0, -inf, -inf, inf
U6RZ2U, G, 4, -1, -4, -1
6IMA8N, Y, 3, -1, -4, -1
U6RZ2U, R, 4, 4, -4, -1
6IMA8N, Y, 3, -1, -4, -1
U6RZ2U, Y, 4, 9, -4, -1
6IMA8N, Y, 3, -1, -4, -1
WR7MPQ, G, 4, -1, -4, -1
6IMA8N, Y, 3, -1, -4, -1
WR7MPQ, R, 4, 4, -4, -1
6IMA8N, Y, 3, -1, -4, -1
QV005E, B, 2, -1, -4, -1
3L50AP, B, 1, -1, -inf, -1
QV005E, R, 2, -inf, -inf, -1
6IMA8N, B, 3, inf, -inf, -1
0B2N9S, G, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
0B2N9S, R, 4, 6, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
0B2N9S, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
HV4TQ9, G, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
HV4TQ9, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
LJAITB, B, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
LJAITB, G, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
LJAITB, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
PXLMGH, B, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
PXLMGH, R, 4, 6, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
PXLMGH, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
U6RZ2U, B, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
U6RZ2U, G, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
U6RZ2U, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
WR7MPQ, G, 4, 1, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
WR7MPQ, R, 4, 6, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
WR7MPQ, Y, 4, 11, -inf, -1
6IMA8N, B, 3, 1, -inf, -1
QV005E, R, 2, 1, -inf, -1
3L50AP, B, 1, -1, -inf, -1
QV005E, Y, 2, -inf, -inf, -1
6IMA8N, B, 3, inf, -inf, -1
0B2N9S, G, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
0B2N9S, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
0B2N9S, Y, 4, 16, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
HV4TQ9, G, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
HV4TQ9, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
LJAITB, B, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
LJAITB, G, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
LJAITB, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
PXLMGH, B, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
PXLMGH, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
PXLMGH, Y, 4, 16, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
U6RZ2U, B, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
U6RZ2U, G, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
U6RZ2U, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
WR7MPQ, G, 4, 6, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
WR7MPQ, R, 4, 11, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
WR7MPQ, Y, 4, 16, -inf, -1
6IMA8N, B, 3, 6, -inf, -1
QV005E, Y, 2, 6, -inf, -1
3L50AP, B, 1, -1, -inf, -1
WR7MPQ, G, 2, -inf, -inf, -1
12GA60, B, 3, inf, -inf, -1
1DYO95, G, 4, -4, -inf, -1
12GA60, B, 3, -4, -inf, -4
1DYO95, R, 4, 1, -inf, -4
12GA60, B, 3, -4, -inf, -4
1DYO95, Y, 4, 6, -inf, -4
12GA60, B, 3, -4, -inf, -4
6IMA8N, B, 4, -4, -inf, -4
12GA60, B, 3, -4, -inf, -4
6IMA8N, R, 4, 1, -inf, -4
12GA60, B, 3, -4, -inf, -4
6IMA8N, Y, 4, 6, -inf, -4
12GA60, B, 3, -4, -inf, -4
HV4TQ9, R, 4, 1, -inf, -4
12GA60, B, 3, -4, -inf, -4
HV4TQ9, Y, 4, 6, -inf, -4
12GA60, B, 3, -4, -inf, -4
PXLMGH, B, 4, -4, -inf, -4
12GA60, B, 3, -4, -inf, -4
PXLMGH, R, 4, 1, -inf, -4
12GA60, B, 3, -4, -inf, -4
PXLMGH, Y, 4, 6, -inf, -4
12GA60, B, 3, -4, -inf, -4
QV005E, B, 4, -4, -inf, -4
12GA60, B, 3, -4, -inf, -4
QV005E, R, 4, 1, -inf, -4
12GA60, B, 3, -4, -inf, -4
QV005E, Y, 4, 6, -inf, -4
12GA60, B, 3, -4, -inf, -4
WR7MPQ, G, 2, -4, -4, -1
12GA60, R, 3, inf, -4, -1
1DYO95, B, 4, -8, -4, -1
12GA60, R, 3, -8, -4, -1
WR7MPQ, G, 2, -4, -4, -1
12GA60, Y, 3, inf, -4, -1
1DYO95, B, 4, -1, -4, -1
12GA60, Y, 3, -1, -4, -1
1DYO95, G, 4, -1, -4, -1
12GA60, Y, 3, -1, -4, -1
1DYO95, R, 4, 4, -4, -1
12GA60, Y, 3, -1, -4, -1
6IMA8N, B, 4, -1, -4, -1
12GA60, Y, 3, -1, -4, -1
6IMA8N, R, 4, 4, -4, -1
12GA60, Y, 3, -1, -4, -1
6IMA8N, Y, 4, 9, -4, -1
12GA60, Y, 3, -1, -4, -1
HV4TQ9, R, 4, 4, -4, -1
12GA60, Y, 3, -1, -4, -1
HV4TQ9, Y, 4, 9, -4, -1
12GA60, Y, 3, -1, -4, -1
PXLMGH, B, 4, -1, -4, -1
12GA60, Y, 3, -1, -4, -1
PXLMGH, R, 4, 4, -4, -1
12GA60, Y, 3, -1, -4, -1
PXLMGH, Y, 4, 9, -4, -1
12GA60, Y, 3, -1, -4, -1
QV005E, B, 4, -1, -4, -1
12GA60, Y, 3, -1, -4, -1
QV005E, R, 4, 4, -4, -1
12GA60, Y, 3, -1, -4, -1
QV005E, Y, 4, 9, -4, -1
12GA60, Y, 3, -1, -4, -1
WR7MPQ, G, 2, -1, -4, -1
3L50AP, B, 1, -1, -inf, -1
WR7MPQ, R, 2, -inf, -inf, -1
12GA60, B, 3, inf, -inf, -1
1DYO95, G, 4, 1, -inf, -1
12GA60, B, 3, 1, -inf, -1
1DYO95, R, 4, 6, -inf, -1
12GA60, B, 3, 1, -inf, -1
1DYO95, Y, 4, 11, -inf, -1
12GA60, B, 3, 1, -inf, -1
6IMA8N, B, 4, 1, -inf, -1
12GA60, B, 3, 1, -inf, -1
6IMA8N, Y, 4, 11, -inf, -1
12GA60, B, 3, 1, -inf, -1
HV4TQ9, G, 4, 1, -inf, -1
12GA60, B, 3, 1, -inf, -1
HV4TQ9, Y, 4, 11, -inf, -1
12GA60, B, 3, 1, -inf, -1
PXLMGH, B, 4, 1, -inf, -1
12GA60, B, 3, 1, -inf, -1
PXLMGH, R, 4, 6, -inf, -1
12GA60, B, 3, 1, -inf, -1
PXLMGH, Y, 4, 11, -inf, -1
12GA60, B, 3, 1, -inf, -1
QV005E, B, 4, 1, -inf, -1
12GA60, B, 3, 1, -inf, -1
QV005E, R, 4, 6, -inf, -1
12GA60, B, 3, 1, -inf, -1
QV005E, Y, 4, 11, -inf, -1
12GA60, B, 3, 1, -inf, -1
WR7MPQ, R, 2, 1, -inf, -1
3L50AP, B, 1, -1, -inf, -1
WR7MPQ, Y, 2, -inf, -inf, -1
12GA60, B, 3, inf, -inf, -1
1DYO95, G, 4, 6, -inf, -1
12GA60, B, 3, 6, -inf, -1
1DYO95, R, 4, 11, -inf, -1
12GA60, B, 3, 6, -inf, -1
1DYO95, Y, 4, 16, -inf, -1
12GA60, B, 3, 6, -inf, -1
6IMA8N, B, 4, 6, -inf, -1
12GA60, B, 3, 6, -inf, -1
6IMA8N, R, 4, 11, -inf, -1
12GA60, B, 3, 6, -inf, -1
HV4TQ9, G, 4, 6, -inf, -1
12GA60, B, 3, 6, -inf, -1
HV4TQ9, R, 4, 11, -inf, -1
12GA60, B, 3, 6, -inf, -1
PXLMGH, B, 4, 6, -inf, -1
12GA60, B, 3, 6, -inf, -1
PXLMGH, R, 4, 11, -inf, -1
12GA60, B, 3, 6, -inf, -1
PXLMGH, Y, 4, 16, -inf, -1
12GA60, B, 3, 6, -inf, -1
QV005E, B, 4, 6, -inf, -1
12GA60, B, 3, 6, -inf, -1
QV005E, R, 4, 11, -inf, -1
12GA60, B, 3, 6, -inf, -1
QV005E, Y, 4, 16, -inf, -1
12GA60, B, 3, 6, -inf, -1
WR7MPQ, Y, 2, 6, -inf, -1
3L50AP, B, 1, -1, -inf, -1
L8932D, G, 0, -1, -1, inf
3L50AP, R, 1, inf, -1, inf
6IMA8N, B, 2, -inf, -1, inf
0B2N9S, G, 3, inf, -1, inf
1DYO95, B, 4, -18, -1, inf
0B2N9S, G, 3, -18, -1, inf
6IMA8N, B, 2, -18, -1, inf
0B2N9S, R, 3, inf, -1, inf
1DYO95, B, 4, -12, -1, inf
0B2N9S, R, 3, -12, -1, inf
6IMA8N, B, 2, -12, -1, inf
0B2N9S, Y, 3, inf, -1, inf
1DYO95, B, 4, -5, -1, inf
0B2N9S, Y, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
HV4TQ9, G, 3, inf, -1, inf
0B2N9S, G, 4, -18, -1, inf
HV4TQ9, G, 3, -18, -1, inf
6IMA8N, B, 2, -5, -1, inf
HV4TQ9, Y, 3, inf, -1, inf
0B2N9S, G, 4, -5, -1, inf
HV4TQ9, Y, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
PXLMGH, B, 3, inf, -1, inf
0B2N9S, G, 4, -8, -1, inf
PXLMGH, B, 3, -8, -1, inf
6IMA8N, B, 2, -5, -1, inf
PXLMGH, R, 3, inf, -1, inf
0B2N9S, G, 4, -12, -1, inf
PXLMGH, R, 3, -12, -1, inf
6IMA8N, B, 2, -5, -1, inf
PXLMGH, Y, 3, inf, -1, inf
0B2N9S, G, 4, -5, -1, inf
PXLMGH, Y, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
QV005E, B, 3, inf, -1, inf
0B2N9S, G, 4, -8, -1, inf
QV005E, B, 3, -8, -1, inf
6IMA8N, B, 2, -5, -1, inf
QV005E, R, 3, inf, -1, inf
0B2N9S, G, 4, -12, -1, inf
QV005E, R, 3, -12, -1, inf
6IMA8N, B, 2, -5, -1, inf
QV005E, Y, 3, inf, -1, inf
0B2N9S, G, 4, -5, -1, inf
QV005E, Y, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
WR7MPQ, G, 3, inf, -1, inf
0B2N9S, G, 4, -18, -1, inf
WR7MPQ, G, 3, -18, -1, inf
6IMA8N, B, 2, -5, -1, inf
WR7MPQ, Y, 3, inf, -1, inf
0B2N9S, G, 4, -5, -1, inf
WR7MPQ, Y, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
3L50AP, R, 1, -5, -1, inf
L8932D, G, 0, -1, -1, inf
3L50AP, Y, 1, inf, -1, inf
6IMA8N, B, 2, -inf, -1, inf
0B2N9S, G, 3, inf, -1, inf
1DYO95, B, 4, -11, -1, inf
0B2N9S, G, 3, -11, -1, inf
6IMA8N, B, 2, -11, -1, inf
0B2N9S, R, 3, inf, -1, inf
1DYO95, B, 4, -5, -1, inf
0B2N9S, R, 3, -5, -1, inf
6IMA8N, B, 2, -5, -1, inf
0B2N9S, Y, 3, inf, -1, inf
1DYO95, B, 4, 2, -1, inf
0B2N9S, Y, 3, 2, -1, 2
1DYO95, G, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
1DYO95, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
HV4TQ9, G, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
HV4TQ9, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
LJAITB, B, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
LJAITB, G, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
LJAITB, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
PXLMGH, B, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
PXLMGH, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
PXLMGH, Y, 4, 12, -1, 2
0B2N9S, Y, 3, 2, -1, 2
QV005E, B, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
QV005E, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
QV005E, Y, 4, 12, -1, 2
0B2N9S, Y, 3, 2, -1, 2
U6RZ2U, B, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
U6RZ2U, G, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
U6RZ2U, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
WR7MPQ, G, 4, 2, -1, 2
0B2N9S, Y, 3, 2, -1, 2
WR7MPQ, R, 4, 7, -1, 2
0B2N9S, Y, 3, 2, -1, 2
6IMA8N, B, 2, 2, 2, inf
HV4TQ9, G, 3, inf, 2, inf
0B2N9S, G, 4, -11, 2, inf
HV4TQ9, G, 3, -11, 2, inf
6IMA8N, B, 2, 2, 2, inf
HV4TQ9, R, 3, inf, 2, inf
0B2N9S, G, 4, -5, 2, inf
HV4TQ9, R, 3, -5, 2, inf
6IMA8N, B, 2, 2, 2, inf
PXLMGH, B, 3, inf, 2, inf
0B2N9S, G, 4, -1, 2, inf
PXLMGH, B, 3, -1, 2, inf
6IMA8N, B, 2, 2, 2, inf
PXLMGH, R, 3, inf, 2, inf
0B2N9S, G, 4, -5, 2, inf
PXLMGH, R, 3, -5, 2, inf
6IMA8N, B, 2, 2, 2, inf
PXLMGH, Y, 3, inf, 2, inf
0B2N9S, G, 4, 2, 2, inf
PXLMGH, Y, 3, 2, 2, inf
6IMA8N, B, 2, 2, 2, inf
QV005E, B, 3, inf, 2, inf
0B2N9S, G, 4, -1, 2, inf
QV005E, B, 3, -1, 2, inf
6IMA8N, B, 2, 2, 2, inf
QV005E, R, 3, inf, 2, inf
0B2N9S, G, 4, -5, 2, inf
QV005E, R, 3, -5, 2, inf
6IMA8N, B, 2, 2, 2, inf
QV005E, Y, 3, inf, 2, inf
0B2N9S, G, 4, 2, 2, inf
QV005E, Y, 3, 2, 2, inf
6IMA8N, B, 2, 2, 2, inf
WR7MPQ, G, 3, inf, 2, inf
0B2N9S, G, 4, -11, 2, inf
WR7MPQ, G, 3, -11, 2, inf
6IMA8N, B, 2, 2, 2, inf
WR7MPQ, R, 3, inf, 2, inf
0B2N9S, G, 4, -5, 2, inf
WR7MPQ, R, 3, -5, 2, inf
6IMA8N, B, 2, 2, 2, inf
3L50AP, Y, 1, 2, -1, 2
6IMA8N, R, 2, -inf, -1, 2
0B2N9S, B, 3, inf, -1, 2
1DYO95, G, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
1DYO95, R, 4, 9, -1, 2
0B2N9S, B, 3, 4, -1, 2
1DYO95, Y, 4, 14, -1, 2
0B2N9S, B, 3, 4, -1, 2
HV4TQ9, B, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
HV4TQ9, G, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
LJAITB, G, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
LJAITB, R, 4, 9, -1, 2
0B2N9S, B, 3, 4, -1, 2
LJAITB, Y, 4, 14, -1, 2
0B2N9S, B, 3, 4, -1, 2
PXLMGH, B, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
PXLMGH, R, 4, 9, -1, 2
0B2N9S, B, 3, 4, -1, 2
PXLMGH, Y, 4, 14, -1, 2
0B2N9S, B, 3, 4, -1, 2
QV005E, B, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
QV005E, R, 4, 9, -1, 2
0B2N9S, B, 3, 4, -1, 2
QV005E, Y, 4, 14, -1, 2
0B2N9S, B, 3, 4, -1, 2
U6RZ2U, G, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
U6RZ2U, R, 4, 9, -1, 2
0B2N9S, B, 3, 4, -1, 2
U6RZ2U, Y, 4, 14, -1, 2
0B2N9S, B, 3, 4, -1, 2
WR7MPQ, B, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
WR7MPQ, G, 4, 4, -1, 2
0B2N9S, B, 3, 4, -1, 2
6IMA8N, R, 2, 4, -1, 2
3L50AP, Y, 1, 2, -1, 2
6IMA8N, Y, 2, -inf, -1, 2
0B2N9S, B, 3, inf, -1, 2
1DYO95, G, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
1DYO95, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
1DYO95, Y, 4, 19, -1, 2
0B2N9S, B, 3, 9, -1, 2
HV4TQ9, B, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
HV4TQ9, G, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
HV4TQ9, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
LJAITB, G, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
LJAITB, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
LJAITB, Y, 4, 19, -1, 2
0B2N9S, B, 3, 9, -1, 2
PXLMGH, B, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
PXLMGH, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
PXLMGH, Y, 4, 19, -1, 2
0B2N9S, B, 3, 9, -1, 2
QV005E, B, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
QV005E, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
QV005E, Y, 4, 19, -1, 2
0B2N9S, B, 3, 9, -1, 2
U6RZ2U, G, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
U6RZ2U, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
U6RZ2U, Y, 4, 19, -1, 2
0B2N9S, B, 3, 9, -1, 2
WR7MPQ, B, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
WR7MPQ, G, 4, 9, -1, 2
0B2N9S, B, 3, 9, -1, 2
WR7MPQ, R, 4, 14, -1, 2
0B2N9S, B, 3, 9, -1, 2
6IMA8N, Y, 2, 9, -1, 2
3L50AP, Y, 1, 2, -1, 2
HV4TQ9, B, 2, -inf, -1, 2
6IMA8N, R, 3, inf, -1, 2
0B2N9S, B, 4, -5, -1, 2
6IMA8N, R, 3, -5, -1, 2
HV4TQ9, B, 2, -5, -1, 2
6IMA8N, Y, 3, inf, -1, 2
0B2N9S, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
HV4TQ9, B, 2, 2, -1, 2
3L50AP, Y, 1, 2, -1, 2
HV4TQ9, G, 2, -inf, -1, 2
6IMA8N, B, 3, inf, -1, 2
0B2N9S, G, 4, -1, -1, 2
6IMA8N, B, 3, -1, -1, 2
HV4TQ9, G, 2, -1, -1, 2
6IMA8N, R, 3, inf, -1, 2
0B2N9S, B, 4, -5, -1, 2
6IMA8N, R, 3, -5, -1, 2
HV4TQ9, G, 2, -1, -1, 2
6IMA8N, Y, 3, inf, -1, 2
0B2N9S, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
U6RZ2U, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
HV4TQ9, G, 2, 2, -1, 2
3L50AP, Y, 1, 2, -1, 2
HV4TQ9, R, 2, -inf, -1, 2
6IMA8N, B, 3, inf, -1, 2
0B2N9S, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
0B2N9S, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
0B2N9S, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
PXLMGH, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
PXLMGH, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
PXLMGH, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
QV005E, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
QV005E, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
U6RZ2U, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
U6RZ2U, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
U6RZ2U, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
WR7MPQ, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
HV4TQ9, R, 2, 4, -1, 2
3L50AP, Y, 1, 2, -1, 2
PXLMGH, B, 2, -inf, -1, 2
6IMA8N, B, 3, inf, -1, 2
0B2N9S, G, 4, -1, -1, 2
6IMA8N, B, 3, -1, -1, 2
PXLMGH, B, 2, -1, -1, 2
6IMA8N, R, 3, inf, -1, 2
0B2N9S, B, 4, -5, -1, 2
6IMA8N, R, 3, -5, -1, 2
PXLMGH, B, 2, -1, -1, 2
6IMA8N, Y, 3, inf, -1, 2
0B2N9S, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
0B2N9S, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
HV4TQ9, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
HV4TQ9, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
HV4TQ9, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QV005E, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QWF2F7, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QWF2F7, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
QWF2F7, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
UIK8SI, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
UIK8SI, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
UIK8SI, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, B, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
WR7MPQ, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
XC4AOP, G, 4, 2, -1, 2
6IMA8N, Y, 3, 2, -1, 2
XC4AOP, R, 4, 7, -1, 2
6IMA8N, Y, 3, 2, -1, 2
XC4AOP, Y, 4, 12, -1, 2
6IMA8N, Y, 3, 2, -1, 2
PXLMGH, B, 2, 2, -1, 2
3L50AP, Y, 1, 2, -1, 2
PXLMGH, R, 2, -inf, -1, 2
6IMA8N, B, 3, inf, -1, 2
0B2N9S, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
0B2N9S, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
0B2N9S, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
HV4TQ9, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
HV4TQ9, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
QV005E, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
QV005E, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
QV005E, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
QWF2F7, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
QWF2F7, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
QWF2F7, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
UIK8SI, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
UIK8SI, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
UIK8SI, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
WR7MPQ, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
WR7MPQ, R, 4, 9, -1, 2
6IMA8N, B, 3, 4, -1, 2
XC4AOP, B, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
XC4AOP, G, 4, 4, -1, 2
6IMA8N, B, 3, 4, -1, 2
XC4AOP, Y, 4, 14, -1, 2
6IMA8N, B, 3, 4, -1, 2
PXLMGH, R, 2, 4, -1, 2
3L50AP, Y, 1, 2, -1, 2
PXLMGH, Y, 2, -inf, -1, 2
6IMA8N, B, 3, inf, -1, 2
0B2N9S, G, 4, 9, -1, 2
6IMA8N, B, 3, 9, -1, 2
0B2N9S, R, 4, 14, -1, 2
6IMA8N, B, 3, 9, -1, 2
0B2N9S, Y, 4, 19, -1, 2
6IMA8N, B, 3, 9, -1, 2
