MD3KRQ, G, 0, -inf, -inf, inf
5E7IFX, Y, 2, -3, -3, -1
FXFIH0, G, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
FXFIH0, P, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
LSMH8T, B, 3, -6, -3, -1
5E7IFX, Y, 2, -3, -3, -1
LSMH8T, G, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
LSMH8T, P, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
LSMH8T, R, 3, -5, -3, -1
5E7IFX, Y, 2, -3, -3, -1
R109DH, B, 3, -6, -3, -1
5E7IFX, Y, 2, -3, -3, -1
R109DH, P, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
R109DH, R, 3, -5, -3, -1
5E7IFX, Y, 2, -3, -3, -1
Z9Q7SV, B, 3, -6, -3, -1
5E7IFX, Y, 2, -3, -3, -1
Z9Q7SV, G, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
Z9Q7SV, P, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
Z9Q7SV, R, 3, -5, -3, -1
5E7IFX, Y, 2, -3, -3, -1
ZE3HTR, B, 3, -6, -3, -1
5E7IFX, Y, 2, -3, -3, -1
ZE3HTR, G, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
ZE3HTR, P, 3, -9, -3, -1
5E7IFX, Y, 2, -3, -3, -1
ZE3HTR, Y, 3, -3, -3, -1
5E7IFX, Y, 2, -3, -3, -1
10X94T, Y, 1, -3, -6, -3
DRPOSC, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
DRPOSC, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
DRPOSC, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
DRPOSC, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
DRPOSC, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
DRPOSC, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
DRPOSC, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
DRPOSC, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
DRPOSC, R, 2, -inf, -6, -3
5E7IFX, B, 3, -2, -6, -3
DRPOSC, R, 2, -2, -6, -3
10X94T, Y, 1, -3, -6, -3
DWCEWT, B, 2, -inf, -6, -3
5E7IFX, P, 3, -7, -6, -3
DWCEWT, B, 2, -7, -6, -3
5E7IFX, R, 3, -3, -6, -3
DWCEWT, B, 2, -3, -6, -3
10X94T, Y, 1, -3, -6, -3
DWCEWT, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
DWCEWT, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
DWCEWT, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
DWCEWT, R, 2, -inf, -6, -3
5E7IFX, B, 3, -2, -6, -3
DWCEWT, R, 2, -2, -6, -3
10X94T, Y, 1, -3, -6, -3
DWCEWT, Y, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
DWCEWT, Y, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
DWCEWT, Y, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
DWCEWT, Y, 2, -5, -5, -3
DRPOSC, B, 3, -6, -5, -3
DWCEWT, Y, 2, -5, -5, -3
DRPOSC, P, 3, -9, -5, -3
DWCEWT, Y, 2, -5, -5, -3
DRPOSC, R, 3, -5, -5, -3
DWCEWT, Y, 2, -5, -5, -3
F5GTYF, B, 3, -6, -5, -3
DWCEWT, Y, 2, -5, -5, -3
F5GTYF, G, 3, -9, -5, -3
DWCEWT, Y, 2, -5, -5, -3
F5GTYF, P, 3, -9, -5, -3
DWCEWT, Y, 2, -5, -5, -3
F5GTYF, R, 3, -5, -5, -3
DWCEWT, Y, 2, -5, -5, -3
FC55DO, B, 3, -6, -5, -3
DWCEWT, Y, 2, -5, -5, -3
FC55DO, G, 3, -9, -5, -3
DWCEWT, Y, 2, -5, -5, -3
FC55DO, P, 3, -9, -5, -3
DWCEWT, Y, 2, -5, -5, -3
FC55DO, Y, 3, -3, -5, -3
DWCEWT, Y, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
F5GTYF, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
F5GTYF, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
F5GTYF, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
F5GTYF, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
F5GTYF, G, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
F5GTYF, G, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
F5GTYF, G, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
F5GTYF, G, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
F5GTYF, G, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
F5GTYF, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
F5GTYF, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
F5GTYF, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
F5GTYF, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
F5GTYF, R, 2, -inf, -6, -3
5E7IFX, B, 3, -2, -6, -3
F5GTYF, R, 2, -2, -6, -3
10X94T, Y, 1, -3, -6, -3
FC55DO, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
FC55DO, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
FC55DO, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
FC55DO, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
FC55DO, G, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
FC55DO, G, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
FC55DO, G, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
FC55DO, G, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
FC55DO, G, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
FC55DO, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
FC55DO, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
FC55DO, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
FC55DO, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
FC55DO, Y, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
FC55DO, Y, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
FC55DO, Y, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
FC55DO, Y, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
FC55DO, Y, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
FXFIH0, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
FXFIH0, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
FXFIH0, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
FXFIH0, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
FXFIH0, G, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
FXFIH0, G, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
FXFIH0, G, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
FXFIH0, G, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
FXFIH0, G, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
FXFIH0, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
FXFIH0, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
FXFIH0, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
FXFIH0, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
LSMH8T, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
LSMH8T, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
LSMH8T, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
LSMH8T, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
LSMH8T, G, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
LSMH8T, G, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
LSMH8T, G, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
LSMH8T, G, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
LSMH8T, G, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
LSMH8T, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
LSMH8T, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
LSMH8T, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
LSMH8T, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
LSMH8T, R, 2, -inf, -6, -3
5E7IFX, B, 3, -2, -6, -3
LSMH8T, R, 2, -2, -6, -3
10X94T, Y, 1, -3, -6, -3
R109DH, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
R109DH, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
R109DH, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
R109DH, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
R109DH, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
R109DH, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
R109DH, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
R109DH, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
R109DH, R, 2, -inf, -6, -3
5E7IFX, B, 3, -2, -6, -3
R109DH, R, 2, -2, -6, -3
10X94T, Y, 1, -3, -6, -3
ZE3HTR, B, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
ZE3HTR, B, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
ZE3HTR, B, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
ZE3HTR, B, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
ZE3HTR, G, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
ZE3HTR, G, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
ZE3HTR, G, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
ZE3HTR, G, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
ZE3HTR, G, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
ZE3HTR, P, 2, -inf, -6, -3
5E7IFX, B, 3, -4, -6, -3
ZE3HTR, P, 2, -4, -4, -3
5E7IFX, P, 3, -7, -4, -3
ZE3HTR, P, 2, -4, -4, -3
5E7IFX, R, 3, -3, -4, -3
ZE3HTR, P, 2, -3, -4, -3
10X94T, Y, 1, -3, -6, -3
ZE3HTR, Y, 2, -inf, -6, -3
5E7IFX, B, 3, -6, -6, -3
ZE3HTR, Y, 2, -6, -6, -3
5E7IFX, P, 3, -9, -6, -3
ZE3HTR, Y, 2, -6, -6, -3
5E7IFX, R, 3, -5, -6, -3
ZE3HTR, Y, 2, -5, -5, -3
5E7IFX, Y, 3, -3, -5, -3
ZE3HTR, Y, 2, -3, -5, -3
10X94T, Y, 1, -3, -6, -3
MD3KRQ, G, 0, -3, -3, inf
5E7IFX, B, 1, inf, -3, inf
10X94T, B, 2, -inf, -3, inf
AGKE29, G, 3, -10, -3, inf
10X94T, B, 2, -10, -3, inf
AGKE29, P, 3, -10, -3, inf
10X94T, B, 2, -10, -3, inf
AGKE29, R, 3, -6, -3, inf
10X94T, B, 2, -6, -3, inf
AGKE29, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
DRPOSC, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
DRPOSC, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
DRPOSC, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
DWCEWT, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
DWCEWT, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
DWCEWT, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
EACUER, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
EACUER, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
EACUER, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
EACUER, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
F5GTYF, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
F5GTYF, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
F5GTYF, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
F5GTYF, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
FC55DO, B, 3, -7, -3, inf
10X94T, B, 2, -4, -3, inf
FC55DO, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
FC55DO, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
FC55DO, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
FXFIH0, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
FXFIH0, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
FXFIH0, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
LSMH8T, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
LSMH8T, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
LSMH8T, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
LSMH8T, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
R109DH, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
R109DH, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
R109DH, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
Z9Q7SV, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
Z9Q7SV, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
Z9Q7SV, R, 3, -6, -3, inf
10X94T, B, 2, -4, -3, inf
Z9Q7SV, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
ZE3HTR, B, 3, -7, -3, inf
10X94T, B, 2, -4, -3, inf
ZE3HTR, G, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
ZE3HTR, P, 3, -10, -3, inf
10X94T, B, 2, -4, -3, inf
ZE3HTR, Y, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
5E7IFX, B, 1, -4, -3, inf
MD3KRQ, G, 0, -3, -3, inf
5E7IFX, P, 1, inf, -3, inf
10X94T, B, 2, -inf, -3, inf
AGKE29, B, 3, -10, -3, inf
10X94T, B, 2, -10, -3, inf
AGKE29, G, 3, -13, -3, inf
10X94T, B, 2, -10, -3, inf
AGKE29, R, 3, -9, -3, inf
10X94T, B, 2, -9, -3, inf
AGKE29, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
DRPOSC, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
DRPOSC, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
DRPOSC, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
DWCEWT, B, 3, -10, -3, inf
10X94T, B, 2, -7, -3, inf
DWCEWT, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
DWCEWT, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
EACUER, B, 3, -10, -3, inf
10X94T, B, 2, -7, -3, inf
EACUER, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
EACUER, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
EACUER, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
F5GTYF, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
F5GTYF, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
F5GTYF, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
F5GTYF, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
FC55DO, B, 3, -10, -3, inf
10X94T, B, 2, -7, -3, inf
FC55DO, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
FC55DO, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
FC55DO, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
FXFIH0, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
FXFIH0, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
FXFIH0, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
LSMH8T, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
LSMH8T, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
LSMH8T, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
LSMH8T, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
R109DH, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
R109DH, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
R109DH, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
Z9Q7SV, B, 3, -10, -3, inf
10X94T, B, 2, -7, -3, inf
Z9Q7SV, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
Z9Q7SV, R, 3, -9, -3, inf
10X94T, B, 2, -7, -3, inf
Z9Q7SV, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
ZE3HTR, B, 3, -10, -3, inf
10X94T, B, 2, -7, -3, inf
ZE3HTR, G, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
ZE3HTR, P, 3, -13, -3, inf
10X94T, B, 2, -7, -3, inf
ZE3HTR, Y, 3, -7, -3, inf
10X94T, B, 2, -7, -3, inf
5E7IFX, P, 1, -7, -3, inf
MD3KRQ, G, 0, -3, -3, inf
5E7IFX, R, 1, inf, -3, inf
10X94T, B, 2, -inf, -3, inf
AGKE29, B, 3, -6, -3, inf
10X94T, B, 2, -6, -3, inf
AGKE29, G, 3, -9, -3, inf
10X94T, B, 2, -6, -3, inf
AGKE29, P, 3, -9, -3, inf
10X94T, B, 2, -6, -3, inf
AGKE29, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, R, 3, -5, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
DWCEWT, B, 3, -6, -3, inf
10X94T, B, 2, -3, -3, inf
DWCEWT, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
DWCEWT, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
EACUER, B, 3, -6, -3, inf
10X94T, B, 2, -3, -3, inf
EACUER, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
EACUER, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
EACUER, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
F5GTYF, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
F5GTYF, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
F5GTYF, R, 3, -5, -3, inf
10X94T, B, 2, -3, -3, inf
F5GTYF, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
FC55DO, B, 3, -6, -3, inf
10X94T, B, 2, -3, -3, inf
FC55DO, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
FC55DO, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
FC55DO, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
FXFIH0, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
FXFIH0, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
FXFIH0, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
LSMH8T, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
LSMH8T, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
LSMH8T, R, 3, -5, -3, inf
10X94T, B, 2, -3, -3, inf
LSMH8T, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
R109DH, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
R109DH, R, 3, -5, -3, inf
10X94T, B, 2, -3, -3, inf
R109DH, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
Z9Q7SV, B, 3, -6, -3, inf
10X94T, B, 2, -3, -3, inf
Z9Q7SV, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
Z9Q7SV, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
Z9Q7SV, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
ZE3HTR, B, 3, -6, -3, inf
10X94T, B, 2, -3, -3, inf
ZE3HTR, G, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
ZE3HTR, P, 3, -9, -3, inf
10X94T, B, 2, -3, -3, inf
ZE3HTR, Y, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
5E7IFX, R, 1, -3, -3, inf
MD3KRQ, G, 0, -3, -3, inf
5E7IFX, Y, 1, inf, -3, inf
10X94T, B, 2, -inf, -3, inf
AGKE29, B, 3, -4, -3, inf
10X94T, B, 2, -4, -3, inf
AGKE29, G, 3, -7, -3, inf
10X94T, B, 2, -4, -3, inf
AGKE29, P, 3, -7, -3, inf
10X94T, B, 2, -4, -3, inf
AGKE29, R, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, P, 3, -7, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, R, 3, -3, -3, inf
10X94T, B, 2, -3, -3, inf
DRPOSC, Y, 3, -1, -3, inf
10X94T, B, 2, -1, -1, inf
DWCEWT, B, 3, -4, -1, inf
10X94T, B, 2, -1, -1, inf
DWCEWT, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
DWCEWT, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
EACUER, B, 3, -4, -1, inf
10X94T, B, 2, -1, -1, inf
EACUER, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
EACUER, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
EACUER, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
F5GTYF, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
F5GTYF, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
F5GTYF, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
F5GTYF, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
FC55DO, B, 3, -4, -1, inf
10X94T, B, 2, -1, -1, inf
FC55DO, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
FC55DO, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
FC55DO, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
FXFIH0, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
FXFIH0, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
FXFIH0, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
LSMH8T, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
LSMH8T, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
LSMH8T, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
LSMH8T, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
R109DH, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
R109DH, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
R109DH, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
Z9Q7SV, B, 3, -4, -1, inf
10X94T, B, 2, -1, -1, inf
Z9Q7SV, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
Z9Q7SV, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
Z9Q7SV, R, 3, -3, -1, inf
10X94T, B, 2, -1, -1, inf
ZE3HTR, B, 3, -4, -1, inf
10X94T, B, 2, -1, -1, inf
ZE3HTR, G, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
ZE3HTR, P, 3, -7, -1, inf
10X94T, B, 2, -1, -1, inf
ZE3HTR, Y, 3, -1, -1, inf
10X94T, B, 2, -1, -1, inf
5E7IFX, Y, 1, -1, -3, -1
10X94T, P, 2, -inf, -3, -1
AGKE29, B, 3, -4, -3, -1
10X94T, P, 2, -4, -3, -1
AGKE29, G, 3, -7, -3, -1
10X94T, P, 2, -4, -3, -1
AGKE29, P, 3, -7, -3, -1
10X94T, P, 2, -4, -3, -1
AGKE29, R, 3, -3, -3, -1
10X94T, P, 2, -3, -3, -1
DRPOSC, B, 3, -4, -3, -1
10X94T, P, 2, -3, -3, -1
DRPOSC, R, 3, -3, -3, -1
10X94T, P, 2, -3, -3, -1
DRPOSC, Y, 3, -1, -3, -1
10X94T, P, 2, -1, -3, -1
5E7IFX, Y, 1, -1, -3, -1
10X94T, Y, 2, -inf, -3, -1
AGKE29, B, 3, -6, -3, -1
10X94T, Y, 2, -6, -3, -1
AGKE29, G, 3, -9, -3, -1
10X94T, Y, 2, -6, -3, -1
AGKE29, P, 3, -9, -3, -1
10X94T, Y, 2, -6, -3, -1
AGKE29, R, 3, -5, -3, -1
10X94T, Y, 2, -5, -3, -1
DRPOSC, B, 3, -6, -3, -1
10X94T, Y, 2, -5, -3, -1
DRPOSC, P, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
DRPOSC, R, 3, -5, -3, -1
10X94T, Y, 2, -5, -3, -1
DWCEWT, B, 3, -6, -3, -1
10X94T, Y, 2, -5, -3, -1
DWCEWT, P, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
DWCEWT, R, 3, -5, -3, -1
10X94T, Y, 2, -5, -3, -1
EACUER, B, 3, -6, -3, -1
10X94T, Y, 2, -5, -3, -1
EACUER, G, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
EACUER, P, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
EACUER, R, 3, -5, -3, -1
10X94T, Y, 2, -5, -3, -1
F5GTYF, B, 3, -6, -3, -1
10X94T, Y, 2, -5, -3, -1
F5GTYF, G, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
F5GTYF, P, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
F5GTYF, R, 3, -5, -3, -1
10X94T, Y, 2, -5, -3, -1
FC55DO, B, 3, -6, -3, -1
10X94T, Y, 2, -5, -3, -1
FC55DO, G, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
FC55DO, P, 3, -9, -3, -1
10X94T, Y, 2, -5, -3, -1
FC55DO, Y, 3, -3, -3, -1
10X94T, Y, 2, -3, -3, -1
FXFIH0, B, 3, -6, -3, -1
10X94T, Y, 2, -3, -3, -1
FXFIH0, G, 3, -9, -3, -1
10X94T, Y, 2, -3, -3, -1
