BO0OV0, G, 0, -inf, -inf, inf
2C730F, O, 3, -3, 3, 4
DPTQ4B, B, 2, -1, 3, 4
2C730F, P, 3, 4, 3, 4
DPTQ4B, B, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
DPTQ4B, O, 2, -inf, 3, 4
2C730F, B, 3, 8, 3, 4
DPTQ4B, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
DPTQ4B, P, 2, -inf, 3, 4
2C730F, B, 3, 13, 3, 4
DPTQ4B, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
DPTQ4B, R, 2, -inf, 3, 4
2C730F, B, 3, 7, 3, 4
DPTQ4B, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
DPTQ4B, Y, 2, -inf, 3, 4
2C730F, B, 3, 4, 3, 4
DPTQ4B, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
H9WYCE, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
H9WYCE, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
H9WYCE, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
H9WYCE, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
H9WYCE, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
H9WYCE, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
H9WYCE, R, 2, -inf, 3, 4
3EI3PD, B, 3, 7, 3, 4
H9WYCE, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
HMIZVH, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
HMIZVH, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
HMIZVH, G, 2, -inf, 3, 4
3EI3PD, B, 3, 2, 3, 4
HMIZVH, G, 2, 2, 3, 4
3EI3PD, O, 3, -7, 3, 4
HMIZVH, G, 2, 2, 3, 4
3EI3PD, P, 3, 0, 3, 4
HMIZVH, G, 2, 2, 3, 4
3EI3PD, Y, 3, 4, 3, 4
HMIZVH, G, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
HMIZVH, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
HMIZVH, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
HMIZVH, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
HMIZVH, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
HMIZVH, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
HMIZVH, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
KS360P, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
KS360P, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
KS360P, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
KS360P, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
KS360P, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
KS360P, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
KS360P, R, 2, -inf, 3, 4
3EI3PD, B, 3, 7, 3, 4
KS360P, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
KS360P, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
KS360P, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MJKHEN, B, 2, -inf, 3, 4
2C730F, G, 3, -1, 3, 4
MJKHEN, B, 2, -1, 3, 4
2C730F, O, 3, -3, 3, 4
MJKHEN, B, 2, -1, 3, 4
2C730F, P, 3, 4, 3, 4
MJKHEN, B, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MJKHEN, G, 2, -inf, 3, 4
2C730F, B, 3, 2, 3, 4
MJKHEN, G, 2, 2, 3, 4
2C730F, O, 3, -7, 3, 4
MJKHEN, G, 2, 2, 3, 4
2C730F, P, 3, 0, 3, 4
MJKHEN, G, 2, 2, 3, 4
2C730F, R, 3, 3, 3, 4
MJKHEN, G, 2, 3, 3, 4
2C730F, Y, 3, 4, 3, 4
MJKHEN, G, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MJKHEN, O, 2, -inf, 3, 4
2C730F, B, 3, 8, 3, 4
MJKHEN, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MJKHEN, P, 2, -inf, 3, 4
2C730F, B, 3, 13, 3, 4
MJKHEN, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MJKHEN, Y, 2, -inf, 3, 4
2C730F, B, 3, 4, 3, 4
MJKHEN, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MN8GQC, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
MN8GQC, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MN8GQC, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
MN8GQC, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MN8GQC, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
MN8GQC, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MN8GQC, R, 2, -inf, 3, 4
3EI3PD, B, 3, 7, 3, 4
MN8GQC, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
MN8GQC, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
MN8GQC, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
RYP5LU, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
RYP5LU, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
RYP5LU, G, 2, -inf, 3, 4
3EI3PD, B, 3, 2, 3, 4
RYP5LU, G, 2, 2, 3, 4
3EI3PD, O, 3, -7, 3, 4
RYP5LU, G, 2, 2, 3, 4
3EI3PD, P, 3, 0, 3, 4
RYP5LU, G, 2, 2, 3, 4
3EI3PD, Y, 3, 4, 3, 4
RYP5LU, G, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
RYP5LU, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
RYP5LU, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
RYP5LU, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
RYP5LU, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
RYP5LU, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
RYP5LU, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
S165KV, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
S165KV, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
S165KV, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
S165KV, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
S165KV, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
S165KV, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
S165KV, R, 2, -inf, 3, 4
3EI3PD, B, 3, 7, 3, 4
S165KV, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
S165KV, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
S165KV, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
XCTWGU, B, 2, -inf, 3, 4
3EI3PD, B, 3, 6, 3, 4
XCTWGU, B, 2, 6, 3, 4
0ICMMK, Y, 1, 4, 3, 4
XCTWGU, G, 2, -inf, 3, 4
3EI3PD, B, 3, 2, 3, 4
XCTWGU, G, 2, 2, 3, 4
3EI3PD, O, 3, -7, 3, 4
XCTWGU, G, 2, 2, 3, 4
3EI3PD, P, 3, 0, 3, 4
XCTWGU, G, 2, 2, 3, 4
3EI3PD, Y, 3, 4, 3, 4
XCTWGU, G, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
XCTWGU, O, 2, -inf, 3, 4
3EI3PD, B, 3, 8, 3, 4
XCTWGU, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
XCTWGU, P, 2, -inf, 3, 4
3EI3PD, B, 3, 13, 3, 4
XCTWGU, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
XCTWGU, Y, 2, -inf, 3, 4
3EI3PD, B, 3, 4, 3, 4
XCTWGU, Y, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
YWE2XU, B, 2, -inf, 3, 4
2C730F, G, 3, -1, 3, 4
YWE2XU, B, 2, -1, 3, 4
2C730F, O, 3, -3, 3, 4
YWE2XU, B, 2, -1, 3, 4
2C730F, P, 3, 4, 3, 4
YWE2XU, B, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
YWE2XU, G, 2, -inf, 3, 4
2C730F, B, 3, 2, 3, 4
YWE2XU, G, 2, 2, 3, 4
2C730F, O, 3, -7, 3, 4
YWE2XU, G, 2, 2, 3, 4
2C730F, P, 3, 0, 3, 4
YWE2XU, G, 2, 2, 3, 4
2C730F, R, 3, 3, 3, 4
YWE2XU, G, 2, 3, 3, 4
2C730F, Y, 3, 4, 3, 4
YWE2XU, G, 2, 4, 3, 4
0ICMMK, Y, 1, 4, 3, 4
YWE2XU, O, 2, -inf, 3, 4
2C730F, B, 3, 8, 3, 4
YWE2XU, O, 2, 8, 3, 4
0ICMMK, Y, 1, 4, 3, 4
YWE2XU, P, 2, -inf, 3, 4
2C730F, B, 3, 13, 3, 4
YWE2XU, P, 2, 13, 3, 4
0ICMMK, Y, 1, 4, 3, 4
YWE2XU, R, 2, -inf, 3, 4
2C730F, B, 3, 7, 3, 4
YWE2XU, R, 2, 7, 3, 4
0ICMMK, Y, 1, 4, 3, 4
BO0OV0, G, 0, 4, 4, inf
3EI3PD, B, 1, inf, 4, inf
0ICMMK, B, 2, -inf, 4, inf
3OBOG6, G, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
3OBOG6, O, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
3OBOG6, P, 3, 2, 4, inf
0ICMMK, B, 2, 2, 4, inf
3OBOG6, R, 3, 5, 4, inf
0ICMMK, B, 2, 5, 5, inf
3OBOG6, Y, 3, 6, 5, inf
0ICMMK, B, 2, 6, 6, inf
A5AZRE, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
A5AZRE, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
A5AZRE, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
A5AZRE, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
B0JPZW, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
B0JPZW, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
B0JPZW, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
B0JPZW, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
B0JPZW, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
DH4M4H, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
DH4M4H, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
DH4M4H, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
DH4M4H, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
DH4M4H, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
DPTQ4B, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
DPTQ4B, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
DPTQ4B, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
DPTQ4B, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
F19HEQ, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
F19HEQ, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
F19HEQ, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
F19HEQ, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
F19HEQ, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
H9WYCE, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
H9WYCE, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
H9WYCE, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
H9WYCE, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
HMIZVH, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
HMIZVH, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
HMIZVH, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
HMIZVH, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
HMIZVH, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
KS360P, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
KS360P, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
KS360P, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
KS360P, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
KS360P, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
MJKHEN, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
MJKHEN, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
MJKHEN, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
MJKHEN, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
MJKHEN, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
MN8GQC, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
MN8GQC, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
MN8GQC, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
MN8GQC, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
MN8GQC, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
RYP5LU, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
RYP5LU, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
RYP5LU, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
RYP5LU, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
RYP5LU, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
S165KV, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
S165KV, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
S165KV, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
S165KV, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
S165KV, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
XCTWGU, B, 3, 4, 6, inf
0ICMMK, B, 2, 6, 6, inf
XCTWGU, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
XCTWGU, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
XCTWGU, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
XCTWGU, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
YWE2XU, G, 3, -3, 6, inf
0ICMMK, B, 2, 6, 6, inf
YWE2XU, O, 3, -5, 6, inf
0ICMMK, B, 2, 6, 6, inf
YWE2XU, P, 3, 2, 6, inf
0ICMMK, B, 2, 6, 6, inf
YWE2XU, R, 3, 5, 6, inf
0ICMMK, B, 2, 6, 6, inf
YWE2XU, Y, 3, 6, 6, inf
0ICMMK, B, 2, 6, 6, inf
3EI3PD, B, 1, 6, 4, 6
0ICMMK, O, 2, -inf, 4, 6
3OBOG6, B, 3, 6, 4, 6
0ICMMK, O, 2, 6, 4, 6
3EI3PD, B, 1, 6, 4, 6
0ICMMK, P, 2, -inf, 4, 6
3OBOG6, B, 3, 11, 4, 6
0ICMMK, P, 2, 11, 4, 6
3EI3PD, B, 1, 6, 4, 6
0ICMMK, R, 2, -inf, 4, 6
3OBOG6, B, 3, 5, 4, 6
0ICMMK, R, 2, 5, 5, 6
3OBOG6, G, 3, -2, 5, 6
0ICMMK, R, 2, 5, 5, 6
3OBOG6, O, 3, -4, 5, 6
0ICMMK, R, 2, 5, 5, 6
3OBOG6, P, 3, 3, 5, 6
0ICMMK, R, 2, 5, 5, 6
3OBOG6, Y, 3, 7, 5, 6
0ICMMK, R, 2, 7, 5, 6
3EI3PD, B, 1, 6, 4, 6
0ICMMK, Y, 2, -inf, 4, 6
3OBOG6, B, 3, 2, 4, 6
0ICMMK, Y, 2, 2, 4, 6
3OBOG6, G, 3, -5, 4, 6
0ICMMK, Y, 2, 2, 4, 6
3OBOG6, O, 3, -7, 4, 6
0ICMMK, Y, 2, 2, 4, 6
3OBOG6, P, 3, 0, 4, 6
0ICMMK, Y, 2, 2, 4, 6
3OBOG6, R, 3, 3, 4, 6
0ICMMK, Y, 2, 3, 4, 6
A5AZRE, B, 3, 2, 4, 6
0ICMMK, Y, 2, 3, 4, 6
A5AZRE, O, 3, -7, 4, 6
0ICMMK, Y, 2, 3, 4, 6
A5AZRE, P, 3, 0, 4, 6
0ICMMK, Y, 2, 3, 4, 6
A5AZRE, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
B0JPZW, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
B0JPZW, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
B0JPZW, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
B0JPZW, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
B0JPZW, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DH4M4H, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DH4M4H, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DH4M4H, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DH4M4H, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DH4M4H, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DPTQ4B, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DPTQ4B, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DPTQ4B, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
DPTQ4B, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
F19HEQ, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
F19HEQ, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
F19HEQ, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
F19HEQ, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
F19HEQ, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
H9WYCE, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
H9WYCE, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
H9WYCE, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
H9WYCE, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
HMIZVH, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
HMIZVH, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
HMIZVH, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
HMIZVH, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
HMIZVH, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
KS360P, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
KS360P, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
KS360P, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
KS360P, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
KS360P, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MJKHEN, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MJKHEN, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MJKHEN, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MJKHEN, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MJKHEN, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MN8GQC, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MN8GQC, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MN8GQC, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MN8GQC, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
MN8GQC, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
RYP5LU, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
RYP5LU, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
RYP5LU, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
RYP5LU, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
RYP5LU, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
S165KV, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
S165KV, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
S165KV, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
S165KV, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
S165KV, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
XCTWGU, B, 3, 2, 4, 6
0ICMMK, Y, 2, 4, 4, 6
XCTWGU, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
XCTWGU, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
XCTWGU, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
XCTWGU, Y, 3, 4, 4, 6
0ICMMK, Y, 2, 4, 4, 6
YWE2XU, G, 3, -5, 4, 6
0ICMMK, Y, 2, 4, 4, 6
YWE2XU, O, 3, -7, 4, 6
0ICMMK, Y, 2, 4, 4, 6
YWE2XU, P, 3, 0, 4, 6
0ICMMK, Y, 2, 4, 4, 6
YWE2XU, R, 3, 3, 4, 6
0ICMMK, Y, 2, 4, 4, 6
3EI3PD, B, 1, 4, 4, 6
BO0OV0, G, 0, 4, 4, inf
3EI3PD, O, 1, inf, 4, inf
0ICMMK, B, 2, -inf, 4, inf
3OBOG6, G, 3, -12, 4, inf
0ICMMK, B, 2, -12, 4, inf
3OBOG6, O, 3, -14, 4, inf
0ICMMK, B, 2, -12, 4, inf
3OBOG6, P, 3, -7, 4, inf
0ICMMK, B, 2, -7, 4, inf
3OBOG6, R, 3, -4, 4, inf
0ICMMK, B, 2, -4, 4, inf
3OBOG6, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
A5AZRE, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
A5AZRE, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
A5AZRE, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
A5AZRE, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
B0JPZW, G, 3, -12, 4, inf
0ICMMK, B, 2, -3, 4, inf
B0JPZW, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
B0JPZW, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
B0JPZW, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
B0JPZW, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
DH4M4H, G, 3, -12, 4, inf
0ICMMK, B, 2, -3, 4, inf
DH4M4H, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
DH4M4H, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
DH4M4H, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
DH4M4H, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
DPTQ4B, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
DPTQ4B, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
DPTQ4B, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
DPTQ4B, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
F19HEQ, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
F19HEQ, G, 3, -12, 4, inf
0ICMMK, B, 2, -3, 4, inf
F19HEQ, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
F19HEQ, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
F19HEQ, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
H9WYCE, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
H9WYCE, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
H9WYCE, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
H9WYCE, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
HMIZVH, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
HMIZVH, G, 3, -12, 4, inf
0ICMMK, B, 2, -3, 4, inf
HMIZVH, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
HMIZVH, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
HMIZVH, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
KS360P, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
KS360P, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
KS360P, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
KS360P, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
KS360P, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
MJKHEN, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
MJKHEN, G, 3, -12, 4, inf
0ICMMK, B, 2, -3, 4, inf
MJKHEN, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
MJKHEN, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
MJKHEN, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
MN8GQC, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
MN8GQC, O, 3, -14, 4, inf
0ICMMK, B, 2, -3, 4, inf
MN8GQC, P, 3, -7, 4, inf
0ICMMK, B, 2, -3, 4, inf
MN8GQC, R, 3, -4, 4, inf
0ICMMK, B, 2, -3, 4, inf
MN8GQC, Y, 3, -3, 4, inf
0ICMMK, B, 2, -3, 4, inf
RYP5LU, B, 3, -5, 4, inf
0ICMMK, B, 2, -3, 4, inf
