UPYJ9U, G, 0, -inf, -inf, inf
QMJX05, B, 2, 6, 6, 12
0S6XTZ, R, 3, 3, 6, 12
QMJX05, B, 2, 6, 6, 12
0S6XTZ, Y, 3, 10, 6, 12
QMJX05, B, 2, 10, 10, 12
18BWYA, G, 3, -2, 10, 12
QMJX05, B, 2, 10, 10, 12
18BWYA, P, 3, 6, 10, 12
QMJX05, B, 2, 10, 10, 12
18BWYA, R, 3, 3, 10, 12
QMJX05, B, 2, 10, 10, 12
18BWYA, Y, 3, 10, 10, 12
QMJX05, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
QMJX05, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
QMJX05, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
QMJX05, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
QMJX05, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
QMJX05, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
QMJX05, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
QMJX05, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
QMJX05, B, 2, 10, 10, 12
51VNC2, B, 3, 12, 10, 12
QMJX05, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
QMJX05, G, 2, -inf, -inf, 12
0S6XTZ, B, 3, 16, -inf, 12
QMJX05, G, 2, 16, -inf, 12
0PP42D, B, 1, 12, -inf, 12
QMJX05, P, 2, -inf, -inf, 12
0S6XTZ, B, 3, 17, -inf, 12
QMJX05, P, 2, 17, -inf, 12
0PP42D, B, 1, 12, -inf, 12
QMJX05, Y, 2, -inf, -inf, 12
0S6XTZ, B, 3, 19, -inf, 12
QMJX05, Y, 2, 19, -inf, 12
0PP42D, B, 1, 12, -inf, 12
SD9JEG, G, 2, -inf, -inf, 12
18BWYA, G, 3, 2, -inf, 12
SD9JEG, G, 2, 2, 2, 12
18BWYA, P, 3, 10, 2, 12
SD9JEG, G, 2, 10, 10, 12
18BWYA, R, 3, 7, 10, 12
SD9JEG, G, 2, 10, 10, 12
18BWYA, Y, 3, 14, 10, 12
SD9JEG, G, 2, 14, 10, 12
0PP42D, B, 1, 12, -inf, 12
SD9JEG, P, 2, -inf, -inf, 12
18BWYA, G, 3, 3, -inf, 12
SD9JEG, P, 2, 3, 3, 12
18BWYA, P, 3, 11, 3, 12
SD9JEG, P, 2, 11, 11, 12
18BWYA, R, 3, 8, 11, 12
SD9JEG, P, 2, 11, 11, 12
18BWYA, Y, 3, 15, 11, 12
SD9JEG, P, 2, 15, 11, 12
0PP42D, B, 1, 12, -inf, 12
SD9JEG, Y, 2, -inf, -inf, 12
18BWYA, G, 3, 5, -inf, 12
SD9JEG, Y, 2, 5, 5, 12
18BWYA, P, 3, 13, 5, 12
SD9JEG, Y, 2, 13, 5, 12
0PP42D, B, 1, 12, -inf, 12
TSC4ZZ, B, 2, -inf, -inf, 12
0S6XTZ, G, 3, -2, -inf, 12
TSC4ZZ, B, 2, -2, -2, 12
0S6XTZ, P, 3, 6, -2, 12
TSC4ZZ, B, 2, 6, 6, 12
0S6XTZ, R, 3, 3, 6, 12
TSC4ZZ, B, 2, 6, 6, 12
0S6XTZ, Y, 3, 10, 6, 12
TSC4ZZ, B, 2, 10, 10, 12
18BWYA, G, 3, -2, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
18BWYA, P, 3, 6, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
18BWYA, R, 3, 3, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
18BWYA, Y, 3, 10, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
1OCV17, G, 3, -2, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
1OCV17, P, 3, 6, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
1OCV17, R, 3, 3, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
1OCV17, Y, 3, 10, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
464I3S, G, 3, -2, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
464I3S, P, 3, 6, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
464I3S, R, 3, 3, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
464I3S, Y, 3, 10, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
51VNC2, P, 3, 6, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
51VNC2, R, 3, 3, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
51VNC2, Y, 3, 10, 10, 12
TSC4ZZ, B, 2, 10, 10, 12
BV790R, B, 3, 12, 10, 12
TSC4ZZ, B, 2, 12, 10, 12
0PP42D, B, 1, 12, -inf, 12
TSC4ZZ, P, 2, -inf, -inf, 12
0S6XTZ, B, 3, 17, -inf, 12
TSC4ZZ, P, 2, 17, -inf, 12
0PP42D, B, 1, 12, -inf, 12
TSC4ZZ, R, 2, -inf, -inf, 12
0S6XTZ, B, 3, 22, -inf, 12
TSC4ZZ, R, 2, 22, -inf, 12
0PP42D, B, 1, 12, -inf, 12
TSC4ZZ, Y, 2, -inf, -inf, 12
0S6XTZ, B, 3, 19, -inf, 12
TSC4ZZ, Y, 2, 19, -inf, 12
0PP42D, B, 1, 12, -inf, 12
UPYJ9U, G, 0, 12, 12, inf
0PP42D, G, 1, inf, 12, inf
18BWYA, B, 2, -inf, 12, inf
0S6XTZ, G, 3, -16, 12, inf
18BWYA, B, 2, -16, 12, inf
0S6XTZ, P, 3, -8, 12, inf
18BWYA, B, 2, -8, 12, inf
0S6XTZ, R, 3, -11, 12, inf
18BWYA, B, 2, -8, 12, inf
0S6XTZ, Y, 3, -4, 12, inf
18BWYA, B, 2, -4, 12, inf
1OCV17, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
1OCV17, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
1OCV17, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
1OCV17, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
464I3S, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
464I3S, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
464I3S, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
464I3S, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
51VNC2, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
51VNC2, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
51VNC2, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
51VNC2, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
BV790R, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
BV790R, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
CF8GZL, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
CF8GZL, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
CF8GZL, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
CIR46M, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
CIR46M, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
CIR46M, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
CL2X5M, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
CL2X5M, G, 3, -16, 12, inf
18BWYA, B, 2, -2, 12, inf
CL2X5M, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
CL2X5M, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
EWP924, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
EWP924, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
EWP924, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
F8QWGY, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
F8QWGY, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
F8QWGY, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
F8QWGY, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
I2Y2T8, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
I2Y2T8, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
I2Y2T8, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
MGRRCD, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
MGRRCD, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
MGRRCD, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
QMJX05, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
QMJX05, G, 3, -16, 12, inf
18BWYA, B, 2, -2, 12, inf
QMJX05, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
QMJX05, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
RXVBJW, G, 3, -16, 12, inf
18BWYA, B, 2, -2, 12, inf
RXVBJW, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
RXVBJW, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
RXVBJW, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
S38SP4, G, 3, -16, 12, inf
18BWYA, B, 2, -2, 12, inf
S38SP4, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
S38SP4, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
S38SP4, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
SD9JEG, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
SD9JEG, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
SD9JEG, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
TSC4ZZ, B, 3, -2, 12, inf
18BWYA, B, 2, -2, 12, inf
TSC4ZZ, P, 3, -8, 12, inf
18BWYA, B, 2, -2, 12, inf
TSC4ZZ, R, 3, -11, 12, inf
18BWYA, B, 2, -2, 12, inf
TSC4ZZ, Y, 3, -4, 12, inf
18BWYA, B, 2, -2, 12, inf
0PP42D, G, 1, -2, 12, inf
UPYJ9U, G, 0, 12, 12, inf
0PP42D, P, 1, inf, 12, inf
18BWYA, B, 2, -inf, 12, inf
0S6XTZ, G, 3, -8, 12, inf
18BWYA, B, 2, -8, 12, inf
0S6XTZ, P, 3, 0, 12, inf
18BWYA, B, 2, 0, 12, inf
0S6XTZ, R, 3, -3, 12, inf
18BWYA, B, 2, 0, 12, inf
0S6XTZ, Y, 3, 4, 12, inf
18BWYA, B, 2, 4, 12, inf
1OCV17, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
1OCV17, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
1OCV17, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
1OCV17, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
464I3S, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
464I3S, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
464I3S, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
464I3S, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
51VNC2, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
51VNC2, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
51VNC2, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
51VNC2, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
BV790R, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
BV790R, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
CF8GZL, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
CF8GZL, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
CF8GZL, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
CIR46M, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
CIR46M, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
CIR46M, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
CL2X5M, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
CL2X5M, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
CL2X5M, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
CL2X5M, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
EWP924, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
EWP924, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
EWP924, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
F8QWGY, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
F8QWGY, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
F8QWGY, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
F8QWGY, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
I2Y2T8, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
I2Y2T8, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
MGRRCD, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
MGRRCD, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
MGRRCD, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
QMJX05, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
QMJX05, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
QMJX05, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
QMJX05, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
RXVBJW, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
RXVBJW, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
RXVBJW, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
RXVBJW, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
S38SP4, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
S38SP4, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
S38SP4, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
S38SP4, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
SD9JEG, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
SD9JEG, G, 3, -8, 12, inf
18BWYA, B, 2, 6, 12, inf
SD9JEG, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
TSC4ZZ, B, 3, 6, 12, inf
18BWYA, B, 2, 6, 12, inf
TSC4ZZ, P, 3, 0, 12, inf
18BWYA, B, 2, 6, 12, inf
TSC4ZZ, R, 3, -3, 12, inf
18BWYA, B, 2, 6, 12, inf
TSC4ZZ, Y, 3, 4, 12, inf
18BWYA, B, 2, 6, 12, inf
0PP42D, P, 1, 6, 12, inf
UPYJ9U, G, 0, 12, 12, inf
0PP42D, Y, 1, inf, 12, inf
18BWYA, B, 2, -inf, 12, inf
0S6XTZ, G, 3, -4, 12, inf
18BWYA, B, 2, -4, 12, inf
0S6XTZ, P, 3, 4, 12, inf
18BWYA, B, 2, 4, 12, inf
0S6XTZ, R, 3, 1, 12, inf
18BWYA, B, 2, 4, 12, inf
0S6XTZ, Y, 3, 8, 12, inf
18BWYA, B, 2, 8, 12, inf
1OCV17, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
1OCV17, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
1OCV17, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
1OCV17, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
464I3S, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
464I3S, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
464I3S, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
464I3S, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
51VNC2, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
51VNC2, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
51VNC2, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
51VNC2, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
BV790R, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
BV790R, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
CF8GZL, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
CF8GZL, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
CF8GZL, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
CIR46M, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
CIR46M, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
CIR46M, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
CL2X5M, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
CL2X5M, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
CL2X5M, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
CL2X5M, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
EWP924, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
EWP924, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
EWP924, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
F8QWGY, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
F8QWGY, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
F8QWGY, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
F8QWGY, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
I2Y2T8, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
I2Y2T8, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
MGRRCD, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
MGRRCD, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
MGRRCD, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
QMJX05, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
QMJX05, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
QMJX05, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
QMJX05, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
RXVBJW, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
RXVBJW, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
RXVBJW, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
RXVBJW, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
S38SP4, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
S38SP4, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
S38SP4, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
S38SP4, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
SD9JEG, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
SD9JEG, G, 3, -4, 12, inf
18BWYA, B, 2, 10, 12, inf
SD9JEG, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
TSC4ZZ, B, 3, 10, 12, inf
18BWYA, B, 2, 10, 12, inf
TSC4ZZ, P, 3, 4, 12, inf
18BWYA, B, 2, 10, 12, inf
TSC4ZZ, R, 3, 1, 12, inf
18BWYA, B, 2, 10, 12, inf
TSC4ZZ, Y, 3, 8, 12, inf
18BWYA, B, 2, 10, 12, inf
0PP42D, Y, 1, 10, 12, inf
UPYJ9U, G, 0, 12, 12, inf
51VNC2, B, 1, inf, 12, inf
0PP42D, B, 2, -inf, 12, inf
18BWYA, G, 3, -2, 12, inf
0PP42D, B, 2, -2, 12, inf
18BWYA, P, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
18BWYA, R, 3, 3, 12, inf
0PP42D, B, 2, 6, 12, inf
18BWYA, Y, 3, 10, 12, inf
0PP42D, B, 2, 10, 12, inf
1OCV17, G, 3, -2, 12, inf
0PP42D, B, 2, 10, 12, inf
1OCV17, P, 3, 6, 12, inf
0PP42D, B, 2, 10, 12, inf
1OCV17, R, 3, 3, 12, inf
0PP42D, B, 2, 10, 12, inf
1OCV17, Y, 3, 10, 12, inf
0PP42D, B, 2, 10, 12, inf
464I3S, G, 3, -2, 12, inf
0PP42D, B, 2, 10, 12, inf
464I3S, P, 3, 6, 12, inf
0PP42D, B, 2, 10, 12, inf
464I3S, R, 3, 3, 12, inf
0PP42D, B, 2, 10, 12, inf
464I3S, Y, 3, 10, 12, inf
0PP42D, B, 2, 10, 12, inf
6JGNR9, G, 3, -2, 12, inf
0PP42D, B, 2, 10, 12, inf
6JGNR9, P, 3, 6, 12, inf
0PP42D, B, 2, 10, 12, inf
6JGNR9, R, 3, 3, 12, inf
0PP42D, B, 2, 10, 12, inf
6JGNR9, Y, 3, 10, 12, inf
0PP42D, B, 2, 10, 12, inf
BV790R, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
BV790R, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
BV790R, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
CF8GZL, G, 3, -2, 12, inf
0PP42D, B, 2, 12, 12, inf
CF8GZL, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
CF8GZL, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
CIR46M, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
CIR46M, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
CIR46M, R, 3, 3, 12, inf
0PP42D, B, 2, 12, 12, inf
CIR46M, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
CL2X5M, G, 3, -2, 12, inf
0PP42D, B, 2, 12, 12, inf
CL2X5M, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
CL2X5M, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
EWP924, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
EWP924, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
EWP924, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
F8QWGY, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
F8QWGY, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
F8QWGY, R, 3, 3, 12, inf
0PP42D, B, 2, 12, 12, inf
F8QWGY, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
I2Y2T8, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
I2Y2T8, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
MGRRCD, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
MGRRCD, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
MGRRCD, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
QMJX05, B, 3, 12, 12, inf
0PP42D, B, 2, 12, 12, inf
QMJX05, G, 3, -2, 12, inf
0PP42D, B, 2, 12, 12, inf
QMJX05, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
QMJX05, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
SD9JEG, G, 3, -2, 12, inf
0PP42D, B, 2, 12, 12, inf
SD9JEG, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
SD9JEG, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
TSC4ZZ, P, 3, 6, 12, inf
0PP42D, B, 2, 12, 12, inf
TSC4ZZ, R, 3, 3, 12, inf
0PP42D, B, 2, 12, 12, inf
TSC4ZZ, Y, 3, 10, 12, inf
0PP42D, B, 2, 12, 12, inf
51VNC2, B, 1, 12, 12, inf
UPYJ9U, G, 0, 12, 12, inf
51VNC2, P, 1, inf, 12, inf
0PP42D, B, 2, -inf, 12, inf
18BWYA, G, 3, -8, 12, inf
0PP42D, B, 2, -8, 12, inf
18BWYA, P, 3, 0, 12, inf
0PP42D, B, 2, 0, 12, inf
18BWYA, R, 3, -3, 12, inf
0PP42D, B, 2, 0, 12, inf
18BWYA, Y, 3, 4, 12, inf
0PP42D, B, 2, 4, 12, inf
1OCV17, G, 3, -8, 12, inf
0PP42D, B, 2, 4, 12, inf
1OCV17, P, 3, 0, 12, inf
0PP42D, B, 2, 4, 12, inf
1OCV17, R, 3, -3, 12, inf
0PP42D, B, 2, 4, 12, inf
1OCV17, Y, 3, 4, 12, inf
0PP42D, B, 2, 4, 12, inf
464I3S, G, 3, -8, 12, inf
0PP42D, B, 2, 4, 12, inf
464I3S, P, 3, 0, 12, inf
0PP42D, B, 2, 4, 12, inf
464I3S, R, 3, -3, 12, inf
0PP42D, B, 2, 4, 12, inf
464I3S, Y, 3, 4, 12, inf
0PP42D, B, 2, 4, 12, inf
6JGNR9, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
6JGNR9, G, 3, -8, 12, inf
0PP42D, B, 2, 6, 12, inf
6JGNR9, R, 3, -3, 12, inf
0PP42D, B, 2, 6, 12, inf
6JGNR9, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
BV790R, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
BV790R, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
BV790R, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
CF8GZL, G, 3, -8, 12, inf
0PP42D, B, 2, 6, 12, inf
CF8GZL, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
CF8GZL, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
CIR46M, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
CIR46M, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
CIR46M, R, 3, -3, 12, inf
0PP42D, B, 2, 6, 12, inf
CIR46M, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
CL2X5M, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
CL2X5M, G, 3, -8, 12, inf
0PP42D, B, 2, 6, 12, inf
CL2X5M, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
EWP924, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
EWP924, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
EWP924, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
F8QWGY, B, 3, 6, 12, inf
0PP42D, B, 2, 6, 12, inf
F8QWGY, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
F8QWGY, R, 3, -3, 12, inf
0PP42D, B, 2, 6, 12, inf
F8QWGY, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
I2Y2T8, P, 3, 0, 12, inf
0PP42D, B, 2, 6, 12, inf
I2Y2T8, Y, 3, 4, 12, inf
0PP42D, B, 2, 6, 12, inf
MGRRCD, B, 3, 6, 12, inf
