MXFI3W, G, 0, -inf, -inf, inf
FOQ0EN, B, 4, 2, -9, 1
ZJDOS9, B, 3, 1, -9, 1
FOQ0EN, R, 4, 1, -9, 1
ZJDOS9, B, 3, 1, -9, 1
I7NJQU, B, 4, 2, -9, 1
ZJDOS9, B, 3, 1, -9, 1
I7NJQU, G, 4, -10, -9, 1
ZJDOS9, B, 3, -10, -9, 1
CU7BOC, G, 2, -9, -9, 3
ZJDOS9, G, 3, inf, -9, 3
9YZSQ5, B, 4, -4, -9, 3
ZJDOS9, G, 3, -4, -9, -4
9YZSQ5, R, 4, -5, -9, -4
ZJDOS9, G, 3, -5, -9, -5
C6RXPH, B, 4, -4, -9, -5
ZJDOS9, G, 3, -5, -9, -5
C6RXPH, R, 4, -5, -9, -5
ZJDOS9, G, 3, -5, -9, -5
DDQ3KD, B, 4, -4, -9, -5
ZJDOS9, G, 3, -5, -9, -5
FOQ0EN, B, 4, -4, -9, -5
ZJDOS9, G, 3, -5, -9, -5
FOQ0EN, R, 4, -5, -9, -5
ZJDOS9, G, 3, -5, -9, -5
I7NJQU, B, 4, -4, -9, -5
ZJDOS9, G, 3, -5, -9, -5
I7NJQU, G, 4, -16, -9, -5
ZJDOS9, G, 3, -16, -9, -5
CU7BOC, G, 2, -9, -9, 3
15RP8U, R, 1, -9, -10, -9
DDQ3KD, B, 2, -inf, -10, -9
6ZHWP4, G, 3, inf, -10, -9
CU7BOC, B, 4, 8, -10, -9
6ZHWP4, G, 3, 8, -10, -9
CU7BOC, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
FOQ0EN, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
FOQ0EN, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
HOKRCB, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
HOKRCB, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
I7NJQU, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
JFDOL9, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
JFDOL9, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
LHSFBP, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
PLUABQ, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
QDXVF0, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
QDXVF0, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
QZ8R48, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
RRCAVS, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
U9APRV, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
6ZHWP4, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
6ZHWP4, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
6ZHWP4, G, 3, -4, -10, -9
DDQ3KD, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
FOQ0EN, B, 2, -inf, -10, -9
3BGDX9, G, 3, inf, -10, -9
328VUA, B, 4, 8, -10, -9
3BGDX9, G, 3, 8, -10, -9
328VUA, R, 4, 7, -10, -9
3BGDX9, G, 3, 7, -10, -9
CU7BOC, B, 4, 8, -10, -9
3BGDX9, G, 3, 7, -10, -9
CU7BOC, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
DDQ3KD, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
I7NJQU, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
I7NJQU, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
LHSFBP, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
PLUABQ, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
QDXVF0, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
QDXVF0, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
RRCAVS, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
XIMKGA, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
FOQ0EN, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
FOQ0EN, R, 2, -inf, -10, -9
3BGDX9, B, 3, inf, -10, -9
328VUA, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
328VUA, R, 4, 12, -10, -9
3BGDX9, B, 3, 1, -10, -9
CU7BOC, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
CU7BOC, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
DDQ3KD, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
I7NJQU, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
I7NJQU, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
LHSFBP, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
OQP6DR, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
PLUABQ, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
PLUABQ, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
QDXVF0, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
QDXVF0, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
QZ8R48, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
QZ8R48, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
RRCAVS, R, 4, 12, -10, -9
3BGDX9, B, 3, 1, -10, -9
XIMKGA, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
XIMKGA, R, 4, 12, -10, -9
3BGDX9, B, 3, 1, -10, -9
ZJDOS9, B, 4, 13, -10, -9
3BGDX9, B, 3, 1, -10, -9
ZJDOS9, G, 4, 1, -10, -9
3BGDX9, B, 3, 1, -10, -9
FOQ0EN, R, 2, 1, -10, -9
15RP8U, R, 1, -9, -10, -9
I7NJQU, B, 2, -inf, -10, -9
328VUA, G, 3, inf, -10, -9
3BGDX9, B, 4, 8, -10, -9
328VUA, G, 3, 8, -10, -9
3BGDX9, R, 4, 7, -10, -9
328VUA, G, 3, 7, -10, -9
3DEXI7, B, 4, 8, -10, -9
328VUA, G, 3, 7, -10, -9
3DEXI7, R, 4, 7, -10, -9
328VUA, G, 3, 7, -10, -9
CU7BOC, B, 4, 8, -10, -9
328VUA, G, 3, 7, -10, -9
CU7BOC, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
FOQ0EN, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
FOQ0EN, R, 4, 7, -10, -9
328VUA, G, 3, -4, -10, -9
LHSFBP, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
LHSFBP, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
PLUABQ, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
QDXVF0, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
QDXVF0, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
QZ8R48, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
RRCAVS, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
328VUA, G, 3, -4, -10, -9
XIMKGA, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
328VUA, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
328VUA, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
328VUA, G, 3, -4, -10, -9
I7NJQU, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
I7NJQU, G, 2, -inf, -10, -9
328VUA, B, 3, inf, -10, -9
3BGDX9, G, 4, -10, -10, -9
328VUA, B, 3, -10, -10, -9
I7NJQU, G, 2, -10, -10, -9
328VUA, R, 3, inf, -10, -9
3BGDX9, B, 4, 3, -10, -9
328VUA, R, 3, 3, -10, -9
3BGDX9, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
3DEXI7, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
3DEXI7, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
CU7BOC, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
CU7BOC, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
DDQ3KD, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
FOQ0EN, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
FOQ0EN, R, 4, 2, -10, -9
328VUA, R, 3, -9, -10, -9
LHSFBP, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
LHSFBP, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
OQP6DR, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
PLUABQ, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
PLUABQ, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
QDXVF0, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
QDXVF0, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
QZ8R48, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
QZ8R48, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
RRCAVS, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
XIMKGA, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
XIMKGA, R, 4, 2, -10, -9
328VUA, R, 3, -9, -10, -9
ZJDOS9, B, 4, 3, -10, -9
328VUA, R, 3, -9, -10, -9
ZJDOS9, G, 4, -9, -10, -9
328VUA, R, 3, -9, -10, -9
I7NJQU, G, 2, -9, -10, -9
15RP8U, R, 1, -9, -10, -9
LHSFBP, B, 2, -inf, -10, -9
3BGDX9, G, 3, inf, -10, -9
328VUA, B, 4, 8, -10, -9
3BGDX9, G, 3, 8, -10, -9
328VUA, R, 4, 7, -10, -9
3BGDX9, G, 3, 7, -10, -9
6ZHWP4, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
6ZHWP4, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
C6RXPH, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
C6RXPH, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
CU7BOC, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
CU7BOC, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
DDQ3KD, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
FOQ0EN, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
FOQ0EN, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
I7NJQU, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
I7NJQU, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
OQP6DR, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
QDXVF0, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
QDXVF0, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
QZ8R48, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
RRCAVS, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
XIMKGA, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
3BGDX9, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
3BGDX9, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
3BGDX9, G, 3, -4, -10, -9
LHSFBP, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
LHSFBP, G, 2, -inf, -10, -9
3BGDX9, B, 3, inf, -10, -9
328VUA, G, 4, -10, -10, -9
3BGDX9, B, 3, -10, -10, -9
LHSFBP, G, 2, -10, -10, -9
3BGDX9, R, 3, inf, -10, -9
328VUA, B, 4, 3, -10, -9
3BGDX9, R, 3, 3, -10, -9
328VUA, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
6ZHWP4, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
6ZHWP4, R, 4, 2, -10, -9
3BGDX9, R, 3, -9, -10, -9
C6RXPH, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
C6RXPH, R, 4, 2, -10, -9
3BGDX9, R, 3, -9, -10, -9
CU7BOC, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
CU7BOC, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
DDQ3KD, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
FOQ0EN, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
I7NJQU, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
I7NJQU, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
OQP6DR, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
PLUABQ, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
QDXVF0, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
QDXVF0, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
QZ8R48, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
QZ8R48, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
RRCAVS, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
XIMKGA, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
XIMKGA, R, 4, 2, -10, -9
3BGDX9, R, 3, -9, -10, -9
ZJDOS9, B, 4, 3, -10, -9
3BGDX9, R, 3, -9, -10, -9
ZJDOS9, G, 4, -9, -10, -9
3BGDX9, R, 3, -9, -10, -9
LHSFBP, G, 2, -9, -10, -9
15RP8U, R, 1, -9, -10, -9
OQP6DR, B, 2, -inf, -10, -9
9YZSQ5, G, 3, inf, -10, -9
CU7BOC, B, 4, 8, -10, -9
9YZSQ5, G, 3, 8, -10, -9
FOQ0EN, R, 4, 7, -10, -9
9YZSQ5, G, 3, 7, -10, -9
HOKRCB, B, 4, 8, -10, -9
9YZSQ5, G, 3, 7, -10, -9
HOKRCB, R, 4, 7, -10, -9
9YZSQ5, G, 3, 7, -10, -9
I7NJQU, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
JFDOL9, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
JFDOL9, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
LHSFBP, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
LHSFBP, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
QZ8R48, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
U9APRV, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
XIMKGA, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
OQP6DR, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
PLUABQ, B, 2, -inf, -10, -9
CU7BOC, B, 3, inf, -10, -9
9YZSQ5, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
9YZSQ5, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
C6RXPH, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
C6RXPH, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
DDQ3KD, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
FOQ0EN, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
FOQ0EN, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
I7NJQU, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
I7NJQU, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
LHSFBP, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
N1JZCU, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
N1JZCU, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
QDXVF0, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
QZ8R48, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
QZ8R48, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
RRCAVS, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
RRCAVS, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
U9APRV, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
U9APRV, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
XIMKGA, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
XIMKGA, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
ZJDOS9, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
ZJDOS9, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
PLUABQ, B, 2, 2, -10, -9
15RP8U, R, 1, -9, -10, -9
PLUABQ, G, 2, -inf, -10, -9
CU7BOC, B, 3, inf, -10, -9
9YZSQ5, G, 4, -10, -10, -9
CU7BOC, B, 3, -10, -10, -9
PLUABQ, G, 2, -10, -10, -9
CU7BOC, G, 3, inf, -10, -9
9YZSQ5, B, 4, -4, -10, -9
CU7BOC, G, 3, -4, -10, -9
9YZSQ5, R, 4, -5, -10, -9
CU7BOC, G, 3, -5, -10, -9
C6RXPH, B, 4, -4, -10, -9
CU7BOC, G, 3, -5, -10, -9
C6RXPH, R, 4, -5, -10, -9
CU7BOC, G, 3, -5, -10, -9
DDQ3KD, B, 4, -4, -10, -9
CU7BOC, G, 3, -5, -10, -9
FOQ0EN, B, 4, -4, -10, -9
CU7BOC, G, 3, -5, -10, -9
FOQ0EN, R, 4, -5, -10, -9
CU7BOC, G, 3, -5, -10, -9
I7NJQU, B, 4, -4, -10, -9
CU7BOC, G, 3, -5, -10, -9
I7NJQU, G, 4, -16, -10, -9
CU7BOC, G, 3, -16, -10, -9
PLUABQ, G, 2, -10, -10, -9
DDQ3KD, B, 3, inf, -10, -9
6ZHWP4, G, 4, -10, -10, -9
DDQ3KD, B, 3, -10, -10, -9
PLUABQ, G, 2, -10, -10, -9
FOQ0EN, B, 3, inf, -10, -9
3BGDX9, G, 4, -10, -10, -9
FOQ0EN, B, 3, -10, -10, -9
PLUABQ, G, 2, -10, -10, -9
FOQ0EN, R, 3, inf, -10, -9
3BGDX9, B, 4, 3, -10, -9
FOQ0EN, R, 3, 3, -10, -9
3BGDX9, G, 4, -9, -10, -9
FOQ0EN, R, 3, -9, -10, -9
CU7BOC, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
CU7BOC, G, 4, -9, -10, -9
FOQ0EN, R, 3, -9, -10, -9
DDQ3KD, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
I7NJQU, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
I7NJQU, G, 4, -9, -10, -9
FOQ0EN, R, 3, -9, -10, -9
LHSFBP, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
OQP6DR, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
QDXVF0, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
QZ8R48, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
QZ8R48, G, 4, -9, -10, -9
FOQ0EN, R, 3, -9, -10, -9
RRCAVS, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
RRCAVS, R, 4, 2, -10, -9
FOQ0EN, R, 3, -9, -10, -9
XIMKGA, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
XIMKGA, R, 4, 2, -10, -9
FOQ0EN, R, 3, -9, -10, -9
ZJDOS9, B, 4, 3, -10, -9
FOQ0EN, R, 3, -9, -10, -9
ZJDOS9, G, 4, -9, -10, -9
FOQ0EN, R, 3, -9, -10, -9
PLUABQ, G, 2, -9, -10, -9
15RP8U, R, 1, -9, -10, -9
QDXVF0, B, 2, -inf, -10, -9
9YZSQ5, G, 3, inf, -10, -9
DDQ3KD, B, 4, 8, -10, -9
9YZSQ5, G, 3, 8, -10, -9
FOQ0EN, B, 4, 8, -10, -9
9YZSQ5, G, 3, 8, -10, -9
FOQ0EN, R, 4, 7, -10, -9
9YZSQ5, G, 3, 7, -10, -9
HOKRCB, B, 4, 8, -10, -9
9YZSQ5, G, 3, 7, -10, -9
HOKRCB, R, 4, 7, -10, -9
9YZSQ5, G, 3, 7, -10, -9
I7NJQU, B, 4, 8, -10, -9
9YZSQ5, G, 3, 7, -10, -9
I7NJQU, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
LHSFBP, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
LHSFBP, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
PLUABQ, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
QZ8R48, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
RRCAVS, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
RRCAVS, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
U9APRV, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
U9APRV, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
XIMKGA, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
XIMKGA, R, 4, 7, -10, -9
9YZSQ5, G, 3, -4, -10, -9
ZJDOS9, B, 4, 8, -10, -9
9YZSQ5, G, 3, -4, -10, -9
ZJDOS9, G, 4, -4, -10, -9
9YZSQ5, G, 3, -4, -10, -9
QDXVF0, B, 2, -4, -10, -9
15RP8U, R, 1, -9, -10, -9
QDXVF0, G, 2, -inf, -10, -9
9YZSQ5, B, 3, inf, -10, -9
DDQ3KD, B, 4, 2, -10, -9
9YZSQ5, B, 3, 2, -10, -9
FOQ0EN, B, 4, 2, -10, -9
9YZSQ5, B, 3, 2, -10, -9
FOQ0EN, R, 4, 1, -10, -9
9YZSQ5, B, 3, 1, -10, -9
HOKRCB, G, 4, -10, -10, -9
9YZSQ5, B, 3, -10, -10, -9
QDXVF0, G, 2, -10, -10, -9
9YZSQ5, R, 3, inf, -10, -9
CU7BOC, B, 4, 3, -10, -9
9YZSQ5, R, 3, 3, -10, -9
DDQ3KD, B, 4, 3, -10, -9
9YZSQ5, R, 3, 3, -10, -9
FOQ0EN, B, 4, 3, -10, -9
9YZSQ5, R, 3, 3, -10, -9
FOQ0EN, R, 4, 2, -10, -9
9YZSQ5, R, 3, 2, -10, -9
HOKRCB, B, 4, 3, -10, -9
9YZSQ5, R, 3, 2, -10, -9
HOKRCB, G, 4, -9, -10, -9
9YZSQ5, R, 3, -9, -10, -9
I7NJQU, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
I7NJQU, G, 4, -9, -10, -9
9YZSQ5, R, 3, -9, -10, -9
LHSFBP, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
LHSFBP, G, 4, -9, -10, -9
9YZSQ5, R, 3, -9, -10, -9
OQP6DR, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
PLUABQ, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
QZ8R48, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
RRCAVS, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
RRCAVS, R, 4, 2, -10, -9
9YZSQ5, R, 3, -9, -10, -9
U9APRV, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
U9APRV, G, 4, -9, -10, -9
9YZSQ5, R, 3, -9, -10, -9
XIMKGA, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
XIMKGA, R, 4, 2, -10, -9
9YZSQ5, R, 3, -9, -10, -9
ZJDOS9, B, 4, 3, -10, -9
9YZSQ5, R, 3, -9, -10, -9
ZJDOS9, G, 4, -9, -10, -9
9YZSQ5, R, 3, -9, -10, -9
QDXVF0, G, 2, -9, -10, -9
15RP8U, R, 1, -9, -10, -9
QZ8R48, B, 2, -inf, -10, -9
CU7BOC, B, 3, inf, -10, -9
9YZSQ5, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
9YZSQ5, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
C6RXPH, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
C6RXPH, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
DDQ3KD, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
FOQ0EN, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
I7NJQU, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
I7NJQU, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
LHSFBP, B, 4, 14, -10, -9
CU7BOC, B, 3, 2, -10, -9
LHSFBP, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
N1JZCU, G, 4, 2, -10, -9
CU7BOC, B, 3, 2, -10, -9
N1JZCU, R, 4, 13, -10, -9
CU7BOC, B, 3, 2, -10, -9
OQP6DR, B, 4, 14, -10, -9
