6XIYSR, G, 0, -inf, -inf, inf
K43M77, G, 3, -11, -11, -5
9NVS33, B, 2, -11, -11, inf
K43M77, R, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
K43M77, R, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
ZZXXNN, G, 3, inf, -11, inf
2GZ2EK, G, 4, -11, -11, inf
ZZXXNN, G, 3, -11, -11, inf
9NVS33, B, 2, -11, -11, inf
ZZXXNN, R, 3, inf, -11, inf
2GZ2EK, G, 4, -22, -11, inf
ZZXXNN, R, 3, -22, -11, inf
9NVS33, B, 2, -11, -11, inf
9KY7VW, R, 1, -11, -16, -11
9NVS33, R, 2, -inf, -16, -11
2GZ2EK, B, 3, inf, -16, -11
3WSZG0, G, 4, -27, -16, -11
2GZ2EK, B, 3, -27, -16, -11
9NVS33, R, 2, -27, -16, -11
2GZ2EK, G, 3, inf, -16, -11
3WSZG0, B, 4, -5, -16, -11
2GZ2EK, G, 3, -5, -16, -11
3WSZG0, R, 4, -10, -16, -11
2GZ2EK, G, 3, -10, -16, -11
F4P832, B, 4, -5, -16, -11
2GZ2EK, G, 3, -10, -16, -11
F4P832, G, 4, -16, -16, -11
2GZ2EK, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
F4P832, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
F4P832, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
F4P832, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
F4P832, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
F4P832, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
HUGCH7, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
HUGCH7, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
HUGCH7, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
HUGCH7, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
HUGCH7, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K2UCHL, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
K2UCHL, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K2UCHL, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
K2UCHL, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
K2UCHL, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
K43M77, B, 3, inf, -16, -11
2GZ2EK, G, 4, -27, -16, -11
K43M77, B, 3, -27, -16, -11
9NVS33, R, 2, -16, -16, -11
K43M77, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
K43M77, G, 3, -5, -16, -11
3WSZG0, B, 4, -5, -16, -11
K43M77, G, 3, -5, -16, -11
3WSZG0, R, 4, -10, -16, -11
K43M77, G, 3, -10, -16, -11
5T5FB6, B, 4, -5, -16, -11
K43M77, G, 3, -10, -16, -11
5T5FB6, R, 4, -10, -16, -11
K43M77, G, 3, -10, -16, -11
F4P832, B, 4, -5, -16, -11
K43M77, G, 3, -10, -16, -11
F4P832, G, 4, -16, -16, -11
K43M77, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
ZZXXNN, B, 3, inf, -16, -11
2GZ2EK, B, 4, -16, -16, -11
ZZXXNN, B, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
ZZXXNN, G, 3, inf, -16, -11
2GZ2EK, B, 4, -5, -16, -11
ZZXXNN, G, 3, -5, -16, -11
2GZ2EK, G, 4, -16, -16, -11
ZZXXNN, G, 3, -16, -16, -11
9NVS33, R, 2, -16, -16, -11
9KY7VW, R, 1, -16, -16, -11
6XIYSR, G, 0, -16, -16, inf
9NVS33, B, 1, inf, -16, inf
2GZ2EK, G, 2, -inf, -16, inf
3WSZG0, B, 3, inf, -16, inf
9KY7VW, B, 4, -22, -16, inf
3WSZG0, B, 3, -22, -16, inf
2GZ2EK, G, 2, -22, -16, inf
3WSZG0, R, 3, inf, -16, inf
9KY7VW, B, 4, -22, -16, inf
3WSZG0, R, 3, -22, -16, inf
2GZ2EK, G, 2, -22, -16, inf
9KY7VW, B, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
9KY7VW, B, 3, -22, -16, inf
2GZ2EK, G, 2, -22, -16, inf
9KY7VW, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
9KY7VW, R, 3, -22, -16, inf
2GZ2EK, G, 2, -22, -16, inf
F4P832, B, 3, inf, -16, inf
3WSZG0, R, 4, -27, -16, inf
F4P832, B, 3, -27, -16, inf
2GZ2EK, G, 2, -22, -16, inf
F4P832, G, 3, inf, -16, inf
3WSZG0, B, 4, -11, -16, inf
F4P832, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
F4P832, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, inf
HUGCH7, B, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
HUGCH7, B, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
HUGCH7, G, 3, inf, -16, inf
3WSZG0, B, 4, -11, -16, inf
HUGCH7, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
HUGCH7, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, inf
K2UCHL, B, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
K2UCHL, B, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
K2UCHL, G, 3, inf, -16, inf
3WSZG0, B, 4, -11, -16, inf
K2UCHL, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
K2UCHL, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, inf
K43M77, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
K43M77, R, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
MIAG3R, B, 3, inf, -16, inf
3WSZG0, R, 4, -27, -16, inf
MIAG3R, B, 3, -27, -16, inf
2GZ2EK, G, 2, -16, -16, inf
MIAG3R, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
MIAG3R, R, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
Q0OK79, B, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
Q0OK79, B, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
Q0OK79, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
Q0OK79, R, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
YHR68H, B, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
YHR68H, B, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
YHR68H, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
YHR68H, R, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
ZZXXNN, G, 3, inf, -16, inf
3WSZG0, B, 4, -11, -16, inf
ZZXXNN, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
ZZXXNN, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, inf
ZZXXNN, R, 3, inf, -16, inf
3WSZG0, B, 4, -22, -16, inf
ZZXXNN, R, 3, -22, -16, inf
2GZ2EK, G, 2, -16, -16, inf
9NVS33, B, 1, -16, -16, inf
6XIYSR, G, 0, -16, -16, inf
9NVS33, R, 1, inf, -16, inf
2GZ2EK, B, 2, -inf, -16, inf
3WSZG0, G, 3, inf, -16, inf
9KY7VW, B, 4, 0, -16, inf
3WSZG0, G, 3, 0, -16, 0
9KY7VW, R, 4, -5, -16, 0
3WSZG0, G, 3, -5, -16, -5
F4P832, B, 4, 0, -16, -5
3WSZG0, G, 3, -5, -16, -5
HUGCH7, B, 4, 0, -16, -5
3WSZG0, G, 3, -5, -16, -5
HUGCH7, G, 4, -11, -16, -5
3WSZG0, G, 3, -11, -16, -11
K2UCHL, B, 4, 0, -16, -11
3WSZG0, G, 3, -11, -16, -11
K2UCHL, G, 4, -11, -16, -11
3WSZG0, G, 3, -11, -16, -11
MIAG3R, R, 4, -5, -16, -11
3WSZG0, G, 3, -11, -16, -11
Q0OK79, G, 4, -11, -16, -11
3WSZG0, G, 3, -11, -16, -11
Q0OK79, R, 4, -5, -16, -11
3WSZG0, G, 3, -11, -16, -11
YHR68H, G, 4, -11, -16, -11
3WSZG0, G, 3, -11, -16, -11
YHR68H, R, 4, -5, -16, -11
3WSZG0, G, 3, -11, -16, -11
ZZXXNN, B, 4, 0, -16, -11
3WSZG0, G, 3, -11, -16, -11
ZZXXNN, G, 4, -11, -16, -11
3WSZG0, G, 3, -11, -16, -11
2GZ2EK, B, 2, -11, -11, inf
3WSZG0, R, 3, inf, -11, inf
9KY7VW, B, 4, -11, -11, inf
3WSZG0, R, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
9KY7VW, B, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
9KY7VW, B, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
9KY7VW, R, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
9KY7VW, R, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
F4P832, B, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
F4P832, B, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
F4P832, G, 3, inf, -11, inf
3WSZG0, R, 4, -5, -11, inf
F4P832, G, 3, -5, -11, -5
9KY7VW, B, 4, 0, -11, -5
F4P832, G, 3, -5, -11, -5
9KY7VW, R, 4, -5, -11, -5
F4P832, G, 3, -5, -11, -5
HUGCH7, B, 4, 0, -11, -5
F4P832, G, 3, -5, -11, -5
HUGCH7, G, 4, -11, -11, -5
F4P832, G, 3, -11, -11, -5
2GZ2EK, B, 2, -11, -11, inf
HUGCH7, B, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
HUGCH7, B, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
HUGCH7, G, 3, inf, -11, inf
3WSZG0, G, 4, -11, -11, inf
HUGCH7, G, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
K2UCHL, B, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
K2UCHL, B, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
K2UCHL, G, 3, inf, -11, inf
3WSZG0, G, 4, -11, -11, inf
K2UCHL, G, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
K43M77, G, 3, inf, -11, inf
3WSZG0, R, 4, -5, -11, inf
K43M77, G, 3, -5, -11, -5
5T5FB6, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
5T5FB6, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
9KY7VW, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
9KY7VW, R, 4, -5, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, B, 4, 0, -11, -5
K43M77, G, 3, -5, -11, -5
F4P832, G, 4, -11, -11, -5
K43M77, G, 3, -11, -11, -5
2GZ2EK, B, 2, -11, -11, inf
MIAG3R, G, 3, inf, -11, inf
3WSZG0, R, 4, -5, -11, inf
MIAG3R, G, 3, -5, -11, -5
9KY7VW, B, 4, 0, -11, -5
MIAG3R, G, 3, -5, -11, -5
9KY7VW, R, 4, -5, -11, -5
MIAG3R, G, 3, -5, -11, -5
F4P832, B, 4, 0, -11, -5
MIAG3R, G, 3, -5, -11, -5
F4P832, G, 4, -11, -11, -5
MIAG3R, G, 3, -11, -11, -5
2GZ2EK, B, 2, -11, -11, inf
MIAG3R, R, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
MIAG3R, R, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
Q0OK79, G, 3, inf, -11, inf
3WSZG0, G, 4, -11, -11, inf
Q0OK79, G, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
Q0OK79, R, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
Q0OK79, R, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
YHR68H, G, 3, inf, -11, inf
3WSZG0, G, 4, -11, -11, inf
YHR68H, G, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
YHR68H, R, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
YHR68H, R, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
ZZXXNN, B, 3, inf, -11, inf
3WSZG0, G, 4, -22, -11, inf
ZZXXNN, B, 3, -22, -11, inf
2GZ2EK, B, 2, -11, -11, inf
ZZXXNN, G, 3, inf, -11, inf
3WSZG0, G, 4, -11, -11, inf
ZZXXNN, G, 3, -11, -11, inf
2GZ2EK, B, 2, -11, -11, inf
9NVS33, R, 1, -11, -16, -11
2GZ2EK, G, 2, -inf, -16, -11
3WSZG0, B, 3, inf, -16, -11
9KY7VW, B, 4, -22, -16, -11
3WSZG0, B, 3, -22, -16, -11
2GZ2EK, G, 2, -22, -16, -11
3WSZG0, R, 3, inf, -16, -11
9KY7VW, B, 4, -22, -16, -11
3WSZG0, R, 3, -22, -16, -11
2GZ2EK, G, 2, -22, -16, -11
9KY7VW, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
9KY7VW, B, 3, -22, -16, -11
2GZ2EK, G, 2, -22, -16, -11
9KY7VW, R, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
9KY7VW, R, 3, -22, -16, -11
2GZ2EK, G, 2, -22, -16, -11
F4P832, B, 3, inf, -16, -11
3WSZG0, R, 4, -27, -16, -11
F4P832, B, 3, -27, -16, -11
2GZ2EK, G, 2, -22, -16, -11
F4P832, G, 3, inf, -16, -11
3WSZG0, B, 4, -11, -16, -11
F4P832, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
F4P832, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, -11
HUGCH7, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
HUGCH7, B, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
HUGCH7, G, 3, inf, -16, -11
3WSZG0, B, 4, -11, -16, -11
HUGCH7, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
HUGCH7, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, -11
K2UCHL, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
K2UCHL, B, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
K2UCHL, G, 3, inf, -16, -11
3WSZG0, B, 4, -11, -16, -11
K2UCHL, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
K2UCHL, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, -11
K43M77, B, 3, inf, -16, -11
3WSZG0, R, 4, -27, -16, -11
K43M77, B, 3, -27, -16, -11
2GZ2EK, G, 2, -16, -16, -11
MIAG3R, B, 3, inf, -16, -11
3WSZG0, R, 4, -27, -16, -11
MIAG3R, B, 3, -27, -16, -11
2GZ2EK, G, 2, -16, -16, -11
MIAG3R, R, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
MIAG3R, R, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
Q0OK79, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
Q0OK79, B, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
Q0OK79, R, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
Q0OK79, R, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
YHR68H, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
YHR68H, B, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
YHR68H, R, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
YHR68H, R, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
ZZXXNN, B, 3, inf, -16, -11
3WSZG0, B, 4, -22, -16, -11
ZZXXNN, B, 3, -22, -16, -11
2GZ2EK, G, 2, -16, -16, -11
ZZXXNN, G, 3, inf, -16, -11
3WSZG0, B, 4, -11, -16, -11
ZZXXNN, G, 3, -11, -16, -11
3WSZG0, R, 4, -16, -16, -11
ZZXXNN, G, 3, -16, -16, -11
2GZ2EK, G, 2, -16, -16, -11
9NVS33, R, 1, -16, -16, -11
6XIYSR, G, 0, -16, -16, inf
F4P832, B, 1, inf, -16, inf
3WSZG0, G, 2, -inf, -16, inf
2GZ2EK, B, 3, inf, -16, inf
9KY7VW, B, 4, -22, -16, inf
2GZ2EK, B, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
2GZ2EK, R, 3, inf, -16, inf
9KY7VW, B, 4, -22, -16, inf
2GZ2EK, R, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
9KY7VW, B, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
9KY7VW, B, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
9KY7VW, R, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
9KY7VW, R, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
9NVS33, B, 3, inf, -16, inf
2GZ2EK, R, 4, -27, -16, inf
9NVS33, B, 3, -27, -16, inf
3WSZG0, G, 2, -22, -16, inf
9NVS33, R, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
9NVS33, R, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
HUGCH7, B, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
HUGCH7, B, 3, -22, -16, inf
3WSZG0, G, 2, -22, -16, inf
HUGCH7, G, 3, inf, -16, inf
2GZ2EK, B, 4, -11, -16, inf
HUGCH7, G, 3, -11, -16, -11
2GZ2EK, R, 4, -16, -16, -11
HUGCH7, G, 3, -16, -16, -11
3WSZG0, G, 2, -16, -16, inf
K2UCHL, B, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
K2UCHL, B, 3, -22, -16, inf
3WSZG0, G, 2, -16, -16, inf
K2UCHL, G, 3, inf, -16, inf
2GZ2EK, B, 4, -11, -16, inf
K2UCHL, G, 3, -11, -16, -11
2GZ2EK, R, 4, -16, -16, -11
K2UCHL, G, 3, -16, -16, -11
3WSZG0, G, 2, -16, -16, inf
K43M77, B, 3, inf, -16, inf
2GZ2EK, R, 4, -27, -16, inf
K43M77, B, 3, -27, -16, inf
3WSZG0, G, 2, -16, -16, inf
K43M77, R, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
K43M77, R, 3, -22, -16, inf
3WSZG0, G, 2, -16, -16, inf
MIAG3R, B, 3, inf, -16, inf
2GZ2EK, R, 4, -27, -16, inf
MIAG3R, B, 3, -27, -16, inf
3WSZG0, G, 2, -16, -16, inf
MIAG3R, R, 3, inf, -16, inf
2GZ2EK, B, 4, -22, -16, inf
MIAG3R, R, 3, -22, -16, inf
3WSZG0, G, 2, -16, -16, inf
F4P832, B, 1, -16, -16, inf
6XIYSR, G, 0, -16, -16, inf
F4P832, G, 1, inf, -16, inf
3WSZG0, B, 2, -inf, -16, inf
2GZ2EK, G, 3, inf, -16, inf
9KY7VW, B, 4, 11, -16, inf
2GZ2EK, G, 3, 11, -16, 11
9KY7VW, R, 4, 6, -16, 11
2GZ2EK, G, 3, 6, -16, 6
9NVS33, B, 4, 11, -16, 6
2GZ2EK, G, 3, 6, -16, 6
9NVS33, R, 4, 6, -16, 6
2GZ2EK, G, 3, 6, -16, 6
HUGCH7, B, 4, 11, -16, 6
2GZ2EK, G, 3, 6, -16, 6
HUGCH7, G, 4, 0, -16, 6
2GZ2EK, G, 3, 0, -16, 0
K2UCHL, B, 4, 11, -16, 0
2GZ2EK, G, 3, 0, -16, 0
K2UCHL, G, 4, 0, -16, 0
2GZ2EK, G, 3, 0, -16, 0
K43M77, R, 4, 6, -16, 0
2GZ2EK, G, 3, 0, -16, 0
MIAG3R, R, 4, 6, -16, 0
2GZ2EK, G, 3, 0, -16, 0
Q0OK79, B, 4, 11, -16, 0
2GZ2EK, G, 3, 0, -16, 0
Q0OK79, R, 4, 6, -16, 0
2GZ2EK, G, 3, 0, -16, 0
YHR68H, B, 4, 11, -16, 0
2GZ2EK, G, 3, 0, -16, 0
YHR68H, R, 4, 6, -16, 0
2GZ2EK, G, 3, 0, -16, 0
3WSZG0, B, 2, 0, 0, inf
2GZ2EK, R, 3, inf, 0, inf
9KY7VW, B, 4, 0, 0, inf
2GZ2EK, R, 3, 0, 0, inf
3WSZG0, B, 2, 0, 0, inf
9KY7VW, B, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
9KY7VW, B, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
9KY7VW, R, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
9KY7VW, R, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
9NVS33, B, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
9NVS33, B, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
9NVS33, R, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
9NVS33, R, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
HUGCH7, B, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
HUGCH7, B, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
HUGCH7, G, 3, inf, 0, inf
2GZ2EK, G, 4, 0, 0, inf
HUGCH7, G, 3, 0, 0, inf
3WSZG0, B, 2, 0, 0, inf
K2UCHL, B, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
K2UCHL, B, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
K2UCHL, G, 3, inf, 0, inf
2GZ2EK, G, 4, 0, 0, inf
K2UCHL, G, 3, 0, 0, inf
3WSZG0, B, 2, 0, 0, inf
K43M77, G, 3, inf, 0, inf
2GZ2EK, R, 4, 6, 0, inf
K43M77, G, 3, 6, 0, 6
5T5FB6, B, 4, 11, 0, 6
K43M77, G, 3, 6, 0, 6
5T5FB6, R, 4, 6, 0, 6
K43M77, G, 3, 6, 0, 6
9KY7VW, B, 4, 11, 0, 6
K43M77, G, 3, 6, 0, 6
9KY7VW, R, 4, 6, 0, 6
K43M77, G, 3, 6, 0, 6
9NVS33, B, 4, 11, 0, 6
K43M77, G, 3, 6, 0, 6
9NVS33, R, 4, 6, 0, 6
K43M77, G, 3, 6, 0, 6
HUGCH7, B, 4, 11, 0, 6
K43M77, G, 3, 6, 0, 6
HUGCH7, G, 4, 0, 0, 6
K43M77, G, 3, 0, 0, 6
3WSZG0, B, 2, 0, 0, inf
K43M77, R, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
K43M77, R, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
MIAG3R, G, 3, inf, 0, inf
2GZ2EK, R, 4, 6, 0, inf
MIAG3R, G, 3, 6, 0, 6
9KY7VW, B, 4, 11, 0, 6
MIAG3R, G, 3, 6, 0, 6
9KY7VW, R, 4, 6, 0, 6
MIAG3R, G, 3, 6, 0, 6
9NVS33, B, 4, 11, 0, 6
MIAG3R, G, 3, 6, 0, 6
9NVS33, R, 4, 6, 0, 6
MIAG3R, G, 3, 6, 0, 6
HUGCH7, B, 4, 11, 0, 6
MIAG3R, G, 3, 6, 0, 6
K2UCHL, B, 4, 11, 0, 6
MIAG3R, G, 3, 6, 0, 6
K2UCHL, G, 4, 0, 0, 6
MIAG3R, G, 3, 0, 0, 6
3WSZG0, B, 2, 0, 0, inf
MIAG3R, R, 3, inf, 0, inf
2GZ2EK, G, 4, -11, 0, inf
MIAG3R, R, 3, -11, 0, inf
3WSZG0, B, 2, 0, 0, inf
F4P832, G, 1, 0, -16, 0
3WSZG0, R, 2, -inf, -16, 0
2GZ2EK, B, 3, inf, -16, 0
9KY7VW, B, 4, -5, -16, 0
2GZ2EK, B, 3, -5, -16, -5
9KY7VW, R, 4, -10, -16, -5
2GZ2EK, B, 3, -10, -16, -10
9NVS33, R, 4, -10, -16, -10
2GZ2EK, B, 3, -10, -16, -10
HUGCH7, B, 4, -5, -16, -10
2GZ2EK, B, 3, -10, -16, -10
HUGCH7, G, 4, -16, -16, -10
2GZ2EK, B, 3, -16, -16, -10
3WSZG0, R, 2, -16, -16, 0
2GZ2EK, G, 3, inf, -16, 0
9KY7VW, B, 4, 6, -16, 0
2GZ2EK, G, 3, 6, -16, 0
9KY7VW, R, 4, 1, -16, 0
2GZ2EK, G, 3, 1, -16, 0
9NVS33, B, 4, 6, -16, 0
2GZ2EK, G, 3, 1, -16, 0
9NVS33, R, 4, 1, -16, 0
2GZ2EK, G, 3, 1, -16, 0
HUGCH7, B, 4, 6, -16, 0
2GZ2EK, G, 3, 1, -16, 0
HUGCH7, G, 4, -5, -16, 0
2GZ2EK, G, 3, -5, -16, -5
K2UCHL, B, 4, 6, -16, -5
2GZ2EK, G, 3, -5, -16, -5
K2UCHL, G, 4, -5, -16, -5
2GZ2EK, G, 3, -5, -16, -5
K43M77, B, 4, 6, -16, -5
2GZ2EK, G, 3, -5, -16, -5
MIAG3R, B, 4, 6, -16, -5
2GZ2EK, G, 3, -5, -16, -5
Q0OK79, B, 4, 6, -16, -5
2GZ2EK, G, 3, -5, -16, -5
Q0OK79, R, 4, 1, -16, -5
2GZ2EK, G, 3, -5, -16, -5
YHR68H, B, 4, 6, -16, -5
2GZ2EK, G, 3, -5, -16, -5
YHR68H, R, 4, 1, -16, -5
2GZ2EK, G, 3, -5, -16, -5
3WSZG0, R, 2, -5, -5, 0
9KY7VW, B, 3, inf, -5, 0
2GZ2EK, B, 4, -5, -5, 0
9KY7VW, B, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
9KY7VW, R, 3, inf, -5, 0
2GZ2EK, B, 4, -5, -5, 0
9KY7VW, R, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
9NVS33, B, 3, inf, -5, 0
2GZ2EK, G, 4, -16, -5, 0
9NVS33, B, 3, -16, -5, 0
3WSZG0, R, 2, -5, -5, 0
9NVS33, R, 3, inf, -5, 0
2GZ2EK, B, 4, -5, -5, 0
9NVS33, R, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
HUGCH7, B, 3, inf, -5, 0
2GZ2EK, B, 4, -5, -5, 0
HUGCH7, B, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
HUGCH7, G, 3, inf, -5, 0
2GZ2EK, B, 4, 6, -5, 0
HUGCH7, G, 3, 6, -5, 0
2GZ2EK, G, 4, -5, -5, 0
HUGCH7, G, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
K2UCHL, B, 3, inf, -5, 0
2GZ2EK, B, 4, -5, -5, 0
K2UCHL, B, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
K2UCHL, G, 3, inf, -5, 0
2GZ2EK, B, 4, 6, -5, 0
K2UCHL, G, 3, 6, -5, 0
2GZ2EK, G, 4, -5, -5, 0
K2UCHL, G, 3, -5, -5, 0
3WSZG0, R, 2, -5, -5, 0
K43M77, B, 3, inf, -5, 0
2GZ2EK, G, 4, -16, -5, 0
K43M77, B, 3, -16, -5, 0
3WSZG0, R, 2, -5, -5, 0
K43M77, G, 3, inf, -5, 0
2GZ2EK, B, 4, 6, -5, 0
K43M77, G, 3, 6, -5, 0
5T5FB6, B, 4, 6, -5, 0
K43M77, G, 3, 6, -5, 0
